quantile,coef,p_value,ci_lower,ci_upper
0.05,0.043191,0.0476,0.000455,0.085927
0.1,0.054792,0.0,0.033026,0.076559
0.25,0.048014,0.0,0.030996,0.065033
0.5,0.019498,0.0,0.012122,0.026873
0.75,-0.013278,0.0011,-0.021219,-0.005336
0.9,-0.021369,0.004,-0.035904,-0.006834
0.95,-0.022663,0.0782,-0.047882,0.002557
