quantile,coef,p_value,ci_lower,ci_upper
0.05,-0.001959,0.753,-0.014166,0.010247
0.1,-0.003475,0.418,-0.011884,0.004935
0.25,0.001022,0.6943,-0.004076,0.006121
0.5,0.002267,0.1331,-0.000692,0.005227
0.75,0.006353,0.0,0.003343,0.009363
0.9,0.007605,0.0044,0.002378,0.012831
0.95,0.007919,0.0551,-0.000174,0.016011
