pair_name,horizon_days,metric,value,p_value,n_obs
yoy__spy_fwd_1m,21,pearson,0.059,0.2383,401
yoy__spy_fwd_1m,21,spearman,0.0531,0.2884,401
yoy__spy_fwd_1m,21,kendall,0.036,0.282,401
yoy__spy_fwd_1m,21,distance,0.1047,,401
yoy__spy_fwd_3m,63,pearson,0.0432,0.389,399
yoy__spy_fwd_3m,63,spearman,0.0081,0.8721,399
yoy__spy_fwd_3m,63,kendall,0.0074,0.8263,399
yoy__spy_fwd_3m,63,distance,0.1186,,399
yoy__spy_fwd_6m,126,pearson,0.0909,0.0708,396
yoy__spy_fwd_6m,126,spearman,0.0342,0.4974,396
yoy__spy_fwd_6m,126,kendall,0.0255,0.4493,396
yoy__spy_fwd_6m,126,distance,0.1769,,396
yoy__spy_fwd_12m,252,pearson,0.15,0.003,390
yoy__spy_fwd_12m,252,spearman,0.13,0.0102,390
yoy__spy_fwd_12m,252,kendall,0.0884,0.0092,390
yoy__spy_fwd_12m,252,distance,0.2146,,390
mom__spy_fwd_1m,21,pearson,0.1142,0.0222,401
mom__spy_fwd_1m,21,spearman,0.0865,0.0835,401
mom__spy_fwd_1m,21,kendall,0.0578,0.084,401
mom__spy_fwd_1m,21,distance,0.1177,,401
mom__spy_fwd_3m,63,pearson,0.0746,0.137,399
mom__spy_fwd_3m,63,spearman,0.0466,0.3536,399
mom__spy_fwd_3m,63,kendall,0.0317,0.3443,399
mom__spy_fwd_3m,63,distance,0.0841,,399
mom__spy_fwd_6m,126,pearson,0.0487,0.3342,396
mom__spy_fwd_6m,126,spearman,0.0104,0.8368,396
mom__spy_fwd_6m,126,kendall,0.008,0.8126,396
mom__spy_fwd_6m,126,distance,0.084,,396
mom__spy_fwd_12m,252,pearson,0.0398,0.4331,390
mom__spy_fwd_12m,252,spearman,0.0274,0.5897,390
mom__spy_fwd_12m,252,kendall,0.0169,0.6174,390
mom__spy_fwd_12m,252,distance,0.1,,390
yoy_3m__spy_fwd_1m,21,pearson,0.0316,0.5282,401
yoy_3m__spy_fwd_1m,21,spearman,0.015,0.7645,401
yoy_3m__spy_fwd_1m,21,kendall,0.0115,0.7315,401
yoy_3m__spy_fwd_1m,21,distance,0.0962,,401
yoy_3m__spy_fwd_3m,63,pearson,0.0617,0.2185,399
yoy_3m__spy_fwd_3m,63,spearman,0.0067,0.8945,399
yoy_3m__spy_fwd_3m,63,kendall,0.0055,0.869,399
yoy_3m__spy_fwd_3m,63,distance,0.1376,,399
yoy_3m__spy_fwd_6m,126,pearson,0.1052,0.0364,396
yoy_3m__spy_fwd_6m,126,spearman,0.0394,0.4348,396
yoy_3m__spy_fwd_6m,126,kendall,0.0272,0.4192,396
yoy_3m__spy_fwd_6m,126,distance,0.1943,,396
yoy_3m__spy_fwd_12m,252,pearson,0.1785,0.0004,390
yoy_3m__spy_fwd_12m,252,spearman,0.1503,0.0029,390
yoy_3m__spy_fwd_12m,252,kendall,0.103,0.0024,390
yoy_3m__spy_fwd_12m,252,distance,0.2411,,390
chg_3m__spy_fwd_1m,21,pearson,0.0899,0.0723,401
chg_3m__spy_fwd_1m,21,spearman,0.064,0.201,401
chg_3m__spy_fwd_1m,21,kendall,0.0438,0.1899,401
chg_3m__spy_fwd_1m,21,distance,0.1117,,401
chg_3m__spy_fwd_3m,63,pearson,0.0382,0.4473,399
chg_3m__spy_fwd_3m,63,spearman,0.0428,0.3934,399
chg_3m__spy_fwd_3m,63,kendall,0.03,0.3716,399
chg_3m__spy_fwd_3m,63,distance,0.0962,,399
chg_3m__spy_fwd_6m,126,pearson,0.031,0.5386,396
chg_3m__spy_fwd_6m,126,spearman,0.0167,0.7407,396
chg_3m__spy_fwd_6m,126,kendall,0.0139,0.6796,396
chg_3m__spy_fwd_6m,126,distance,0.1167,,396
chg_3m__spy_fwd_12m,252,pearson,0.0456,0.3689,390
chg_3m__spy_fwd_12m,252,spearman,0.0461,0.3642,390
chg_3m__spy_fwd_12m,252,kendall,0.0331,0.3288,390
chg_3m__spy_fwd_12m,252,distance,0.1406,,390
yoy_accel__spy_fwd_1m,21,pearson,0.0751,0.1333,401
yoy_accel__spy_fwd_1m,21,spearman,0.0571,0.2536,401
yoy_accel__spy_fwd_1m,21,kendall,0.0377,0.2598,401
yoy_accel__spy_fwd_1m,21,distance,0.0943,,401
yoy_accel__spy_fwd_3m,63,pearson,-0.0029,0.9533,399
yoy_accel__spy_fwd_3m,63,spearman,0.0268,0.5933,399
yoy_accel__spy_fwd_3m,63,kendall,0.0173,0.6054,399
yoy_accel__spy_fwd_3m,63,distance,0.0799,,399
yoy_accel__spy_fwd_6m,126,pearson,-0.0031,0.9514,396
yoy_accel__spy_fwd_6m,126,spearman,-0.0125,0.8045,396
yoy_accel__spy_fwd_6m,126,kendall,-0.0072,0.8297,396
yoy_accel__spy_fwd_6m,126,distance,0.0737,,396
yoy_accel__spy_fwd_12m,252,pearson,-0.0061,0.9046,390
yoy_accel__spy_fwd_12m,252,spearman,0.0001,0.9977,390
yoy_accel__spy_fwd_12m,252,kendall,0.0016,0.9619,390
yoy_accel__spy_fwd_12m,252,distance,0.075,,390
yoy_zscore_120m__spy_fwd_1m,21,pearson,0.0625,0.233,366
yoy_zscore_120m__spy_fwd_1m,21,spearman,0.0644,0.2191,366
yoy_zscore_120m__spy_fwd_1m,21,kendall,0.0435,0.2145,366
yoy_zscore_120m__spy_fwd_1m,21,distance,0.109,,366
yoy_zscore_120m__spy_fwd_3m,63,pearson,0.0635,0.2266,364
yoy_zscore_120m__spy_fwd_3m,63,spearman,0.0518,0.3241,364
yoy_zscore_120m__spy_fwd_3m,63,kendall,0.0368,0.2948,364
yoy_zscore_120m__spy_fwd_3m,63,distance,0.1209,,364
yoy_zscore_120m__spy_fwd_6m,126,pearson,0.1257,0.0169,361
yoy_zscore_120m__spy_fwd_6m,126,spearman,0.0971,0.0653,361
yoy_zscore_120m__spy_fwd_6m,126,kendall,0.0644,0.0678,361
yoy_zscore_120m__spy_fwd_6m,126,distance,0.1864,,361
