lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,-0.0115,-0.0994,0.0994,False,AR(12),369
-19,-0.021,-0.0994,0.0994,False,AR(12),370
-18,-0.0774,-0.0994,0.0994,False,AR(12),371
-17,0.027,-0.0994,0.0994,False,AR(12),372
-16,0.0474,-0.0994,0.0994,False,AR(12),373
-15,-0.149,-0.0994,0.0994,True,AR(12),374
-14,-0.1015,-0.0994,0.0994,True,AR(12),375
-13,0.0114,-0.0994,0.0994,False,AR(12),376
-12,0.0926,-0.0994,0.0994,False,AR(12),377
-11,0.0387,-0.0994,0.0994,False,AR(12),378
-10,0.0459,-0.0994,0.0994,False,AR(12),379
-9,0.054,-0.0994,0.0994,False,AR(12),380
-8,0.0845,-0.0994,0.0994,False,AR(12),381
-7,-0.032,-0.0994,0.0994,False,AR(12),382
-6,0.0462,-0.0994,0.0994,False,AR(12),383
-5,-0.0187,-0.0994,0.0994,False,AR(12),384
-4,0.0739,-0.0994,0.0994,False,AR(12),385
-3,-0.064,-0.0994,0.0994,False,AR(12),386
-2,0.0555,-0.0994,0.0994,False,AR(12),387
-1,0.0466,-0.0994,0.0994,False,AR(12),388
0,-0.1316,-0.0994,0.0994,True,AR(12),389
1,-0.003,-0.0994,0.0994,False,AR(12),388
2,-0.0529,-0.0994,0.0994,False,AR(12),387
3,-0.0431,-0.0994,0.0994,False,AR(12),386
4,0.0067,-0.0994,0.0994,False,AR(12),385
5,0.0254,-0.0994,0.0994,False,AR(12),384
6,0.0554,-0.0994,0.0994,False,AR(12),383
7,-0.0337,-0.0994,0.0994,False,AR(12),382
8,-0.0577,-0.0994,0.0994,False,AR(12),381
9,0.1181,-0.0994,0.0994,True,AR(12),380
10,0.009,-0.0994,0.0994,False,AR(12),379
11,0.0171,-0.0994,0.0994,False,AR(12),378
12,0.0059,-0.0994,0.0994,False,AR(12),377
13,-0.0101,-0.0994,0.0994,False,AR(12),376
14,0.0097,-0.0994,0.0994,False,AR(12),375
15,0.0213,-0.0994,0.0994,False,AR(12),374
16,-0.088,-0.0994,0.0994,False,AR(12),373
17,-0.0121,-0.0994,0.0994,False,AR(12),372
18,-0.0029,-0.0994,0.0994,False,AR(12),371
19,0.0093,-0.0994,0.0994,False,AR(12),370
20,0.0027,-0.0994,0.0994,False,AR(12),369
