lag,f_statistic,p_value,df_num,df_den
1,3.6352,0.0573,1,394
2,1.4001,0.2478,2,391
3,1.1803,0.317,3,388
4,0.9621,0.4282,4,385
5,0.7643,0.576,5,382
6,0.7433,0.6151,6,379
7,0.7642,0.6177,7,376
8,0.7931,0.609,8,373
9,1.1698,0.3131,9,370
10,1.0865,0.3715,10,367
11,1.0435,0.4072,11,364
12,0.9946,0.4534,12,361
