signal_id,signal_col,lead_time,threshold_method,strategy_id,strategy_name,is_sharpe,is_ann_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_dd,oos_ann_return,oos_ann_vol,oos_win_rate,n_trades,annual_turnover,valid
S1,hy_ig_spread,0,T2_75,P1,Long/Cash,0.361555390474375,0.06875789525174716,0.7589272470325168,0.8946841172906171,0.4152315147622447,-0.33717272970521234,0.1400047432920162,0.18447716014868235,0.5272988505747126,12,1.4482758620689653,False
S1,hy_ig_spread,0,T2_75,P3,Long/Short,0.361555390474375,0.06875789525174716,0.693831176184153,0.8072811965957399,0.39297638628481135,-0.33717272970521234,0.1325009208733398,0.1909699728427483,0.5316091954022989,12,1.4482758620689653,False
S1,hy_ig_spread,0,T2_85,P1,Long/Cash,0.361555390474375,0.06875789525174716,0.7890885155777798,0.9323971639364487,0.4324922270755958,-0.33717272970521234,0.1458245847793652,0.1848013016291217,0.5306513409961686,4,0.48275862068965514,False
S1,hy_ig_spread,0,T2_85,P3,Long/Short,0.361555390474375,0.06875789525174716,0.7549138315770298,0.8762942427885215,0.4274978109115138,-0.33717272970521234,0.1441406038480378,0.1909364987351275,0.5340038314176245,4,0.48275862068965514,False
S1,hy_ig_spread,0,T2_95,P1,Long/Cash,0.361555390474375,0.06875789525174716,0.7505603479439746,0.8824183621784544,0.41543740569544274,-0.33717272970521234,0.14007416409998416,0.18662611805125623,0.5330459770114943,2,0.24137931034482757,False
S1,hy_ig_spread,0,T2_95,P3,Long/Short,0.361555390474375,0.06875789525174716,0.6945596016611276,0.7953576676738386,0.3933881681512075,-0.33717272970521234,0.1326397624892757,0.19096959018643012,0.5344827586206896,2,0.24137931034482757,False
S1,hy_ig_spread,0,T3_1.5,P1,Long/Cash,0.361555390474375,0.06875789525174716,0.7698884535484543,0.9122911449396816,0.4192285631786721,-0.33717272970521234,0.14135243901734693,0.18360119360908259,0.5263409961685823,6,0.7241379310344827,False
S1,hy_ig_spread,0,T3_1.5,P3,Long/Short,0.361555390474375,0.06875789525174716,0.7079731982005321,0.8308861800073877,0.40097048311766614,-0.33717272970521234,0.13519631232400126,0.19096247240380299,0.5301724137931034,6,0.7241379310344827,False
S1,hy_ig_spread,0,T3_2.0,P1,Long/Cash,0.361555390474375,0.06875789525174716,0.7829181485919433,0.9250374154330898,0.4290784092905914,-0.33717272970521234,0.14467353851807904,0.18478756531352658,0.5296934865900383,6,0.7241379310344827,False
S1,hy_ig_spread,0,T3_2.0,P3,Long/Short,0.361555390474375,0.06875789525174716,0.7428303546359014,0.8631127670809009,0.42067017534150475,-0.33717272970521234,0.14183851132546546,0.19094334317421327,0.5330459770114943,6,0.7241379310344827,False
