tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.000853,0.001145,0.4566,-0.001398,0.003104
0.1,0.001037,0.000603,0.0864,-0.000149,0.002223
0.25,0.000467,0.000327,0.1538,-0.000176,0.00111
0.5,-8.1e-05,0.000224,0.7169,-0.000521,0.000359
0.75,-0.000135,0.000248,0.5855,-0.000623,0.000352
0.9,-0.000511,0.000367,0.1649,-0.001232,0.000211
0.95,-0.000601,0.000417,0.1502,-0.00142,0.000219
