horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,0.000148,0.000194,-0.000231,0.000528,0.4439,fwd
3,0.000185,0.000518,-0.000831,0.001201,0.7212,fwd
6,0.000569,0.000889,-0.001173,0.002312,0.522,fwd
12,0.001448,0.001414,-0.001324,0.004219,0.3059,fwd
1,46.737477,30.804073,-13.637396,107.112351,0.1292,rev
3,30.671655,34.913533,-37.757612,99.100921,0.3797,rev
6,54.40905,34.040213,-12.30854,121.126641,0.11,rev
12,62.203635,26.533909,10.198128,114.209142,0.0191,rev
