test,statistic,p_value,interpretation
Jarque-Bera,68.25,0.0,Non-normal — robust/HAC inference used
Breusch-Pagan,29.214,0.0,Heteroskedastic — HC3/HAC SEs used
Breusch-Godfrey,246.292,0.0,Serial correlation (overlapping fwd returns) — HAC SEs used
RESET,1.674,0.1888,Linear form adequate
