tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.003714,0.001449,0.0108,0.000864,0.006563
0.1,0.002259,0.000964,0.0196,0.000364,0.004153
0.25,0.000717,0.000683,0.295,-0.000627,0.00206
0.5,-0.000283,0.000437,0.5176,-0.001143,0.000577
0.75,-0.000176,0.000507,0.7292,-0.001171,0.00082
0.9,-0.000911,0.00086,0.2903,-0.002602,0.00078
0.95,-0.001423,0.000924,0.1243,-0.003241,0.000394
