direction,lag,f_statistic,p_value,significant
indicator_to_target,1,0.7479,0.3877,False
target_to_indicator,1,3.9041,0.0489,True
indicator_to_target,2,0.2598,0.7713,False
target_to_indicator,2,4.5792,0.0108,True
indicator_to_target,3,0.6209,0.6019,False
target_to_indicator,3,3.1238,0.0259,True
indicator_to_target,4,0.4388,0.7806,False
target_to_indicator,4,2.2069,0.0676,False
indicator_to_target,5,0.3848,0.8592,False
target_to_indicator,5,2.3291,0.042,True
indicator_to_target,6,0.3161,0.9285,False
target_to_indicator,6,2.1411,0.048,True
indicator_to_target,7,0.2699,0.9653,False
target_to_indicator,7,1.8458,0.0775,False
indicator_to_target,8,0.3,0.9657,False
target_to_indicator,8,1.6893,0.0994,False
indicator_to_target,9,0.2642,0.9836,False
target_to_indicator,9,1.5792,0.1196,False
indicator_to_target,10,0.2158,0.9948,False
target_to_indicator,10,1.4346,0.163,False
indicator_to_target,11,0.2154,0.9966,False
target_to_indicator,11,1.2705,0.2395,False
indicator_to_target,12,0.2243,0.9972,False
target_to_indicator,12,1.7305,0.0587,False
