date,regime_stress_prob,regime_calm_prob
1993-02-28,0.05023186438773351,0.9497681356122656
1993-03-31,0.035766547242815805,0.9642334527571834
1993-04-30,0.0312324165324293,0.9687675834675699
1993-05-31,0.018802541524312294,0.9811974584756868
1993-06-30,0.012671917523929817,0.9873280824760693
1993-07-31,0.01048165352925063,0.9895183464707483
1993-08-31,0.010037616354443068,0.9899623836455559
1993-09-30,0.009891135911752395,0.9901088640882465
1993-10-31,0.010698227858577608,0.9893017721414213
1993-11-30,0.015214203697077643,0.9847857963029213
1993-12-31,0.02047970533599682,0.979520294664002
1994-01-31,0.03427066986254111,0.9657293301374577
1994-02-28,0.057980109060227165,0.9420198909397716
1994-03-31,0.06516216518101053,0.9348378348189884
1994-04-30,0.0418649756601391,0.9581350243398599
1994-05-31,0.03301802918869936,0.9669819708112997
1994-06-30,0.03268099171286896,0.9673190082871299
1994-07-31,0.03000381132433132,0.9699961886756678
1994-08-31,0.030815103560519336,0.9691848964394798
1994-09-30,0.03318573968181048,0.9668142603181886
1994-10-31,0.03097506429315239,0.9690249357068469
1994-11-30,0.03391917410423129,0.9660808258957678
1994-12-31,0.020938961646755492,0.9790610383532435
1995-01-31,0.016013450434210732,0.9839865495657883
1995-02-28,0.012321027323846573,0.9876789726761526
1995-03-31,0.008345068757071847,0.9916549312429275
1995-04-30,0.006635544948045834,0.9933644550519535
1995-05-31,0.005981609191627186,0.994018390808372
1995-06-30,0.004350960111529191,0.9956490398884701
1995-07-31,0.00410209718928803,0.9958979028107112
1995-08-31,0.004230591265522718,0.9957694087344765
1995-09-30,0.0052720844896510695,0.9947279155103482
1995-10-31,0.005760258347439227,0.9942397416525601
1995-11-30,0.006763740509595332,0.993236259490404
1995-12-31,0.007349187820337603,0.9926508121796617
1996-01-31,0.010730405454335484,0.9892695945456638
1996-02-29,0.016702634147473545,0.9832973658525257
1996-03-31,0.029217665699397995,0.9707823343006012
1996-04-30,0.05819431556220507,0.9418056844377942
1996-05-31,0.12234733191505115,0.877652668084948
1996-06-30,0.26483952768518293,0.7351604723148164
1996-07-31,0.5722954417190964,0.42770455828090304
1996-08-31,0.6210756309543408,0.37892436904565846
1996-09-30,0.7384754166883205,0.2615245833116788
1996-10-31,0.8042461258316348,0.19575387416836448
1996-11-30,0.9260788733230986,0.07392112667690061
1996-12-31,0.946485010949762,0.053514989050237105
1997-01-31,0.9625565379695364,0.037443462030462664
1997-02-28,0.9684906275221772,0.03150937247782199
1997-03-31,0.9911828320413526,0.008817167958646423
1997-04-30,0.9942818861792356,0.005718113820763338
1997-05-31,0.9951574733189299,0.004842526681069067
1997-06-30,0.9946497869526347,0.005350213047364046
1997-07-31,0.9984887926489114,0.0015112073510872655
1997-08-31,0.9974414293438777,0.002558570656121157
1997-09-30,0.9809784813860644,0.019021518613934627
1997-10-31,0.9632095545040807,0.036790445495918256
1997-11-30,0.942155573746051,0.05784442625394806
1997-12-31,0.9309311531309494,0.06906884686904956
1998-01-31,0.9361804259394899,0.06381957406050898
1998-02-28,0.9618817995464698,0.03811820045352912
1998-03-31,0.9553891718938817,0.04461082810611702
1998-04-30,0.9479796875220132,0.05202031247798569
1998-05-31,0.9555792940054353,0.04442070599456363
1998-06-30,0.9637240038859063,0.0362759961140926
1998-07-31,0.9792359236281336,0.020764076371865378
1998-08-31,0.9999999988253249,1.1746741850797964e-09
1998-09-30,0.9986366336428384,0.0013633663571604067
1998-10-31,0.9988206853150736,0.0011793146849251334
1998-11-30,0.9949730456352286,0.005026954364770249
1998-12-31,0.9911964130572417,0.008803586942757194
1999-01-31,0.9818159045452709,0.01818409545472799
1999-02-28,0.9811309484776269,0.018869051522371855
1999-03-31,0.968068289573019,0.031931710426979856
1999-04-30,0.9645160008268808,0.03548399917311815
1999-05-31,0.9703096990296253,0.02969030097037379
1999-06-30,0.9746895942116971,0.025310405788301904
1999-07-31,0.9766841515970515,0.023315848402947544
1999-08-31,0.9729407795938253,0.027059220406173642
1999-09-30,0.9769601725824567,0.023039827417542257
1999-10-31,0.9810041093486077,0.01899589065139135
1999-11-30,0.9797038408106078,0.020296159189391292
1999-12-31,0.989714966736012,0.010285033263987175
2000-01-31,0.9972863437000743,0.0027136562999248563
2000-02-29,0.9969552364540223,0.003044763545976918
2000-03-31,0.9997888724114946,0.00021112758850467557
2000-04-30,0.9961085787922368,0.0038914212077624986
2000-05-31,0.9874256297970081,0.01257437020299122
2000-06-30,0.9831030633042018,0.016896936695797414
2000-07-31,0.9882082489109484,0.011791751089050753
2000-08-31,0.9967968133447408,0.003203186655258599
2000-09-30,0.9988631053585716,0.0011368946414275559
2000-10-31,0.9969279766581145,0.003072023341884693
2000-11-30,0.9998886557742572,0.00011134422574197281
2000-12-31,0.9957461872298426,0.004253812770156711
2001-01-31,0.9958255107787324,0.004174489221266987
2001-02-28,0.9999990272551555,9.727448438206449e-07
2001-03-31,0.9999301934916005,6.980650839884371e-05
2001-04-30,0.9993766768430945,0.0006233231569049188
2001-05-31,0.9950083693700785,0.004991630629920936
2001-06-30,0.9954719431763528,0.0045280568236466655
2001-07-31,0.9956691675050648,0.004330832494934446
2001-08-31,0.9998895452939197,0.00011045470607956825
2001-09-30,0.9999887437290156,1.1256270983664214e-05
2001-10-31,0.9903505397039011,0.009649460296098224
2001-11-30,0.9899580854322674,0.010041914567731963
2001-12-31,0.9774393226036044,0.022560677396395015
2002-01-31,0.9764999680979009,0.023500031902098557
