horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,0.000188,0.00035,-0.000497,0.000873,0.5912,fwd
3,0.000337,0.000872,-0.001371,0.002046,0.6987,fwd
6,3.9e-05,0.001395,-0.002696,0.002774,0.9776,fwd
12,-0.001224,0.002187,-0.005511,0.003063,0.5757,fwd
1,18.562923,14.502709,-9.861864,46.98771,0.2006,rev
3,23.87695,15.335576,-6.180227,53.934127,0.1195,rev
6,31.276664,15.736204,0.434272,62.119057,0.0469,rev
12,32.970737,12.269344,8.923264,57.01821,0.0072,rev
