transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
ism_services_gap_50,-0.029,+0.005,-0.016,-0.020,+0.000,-0.053,-0.046,+0.003,-0.033,-0.031,-0.024,-0.020,-0.010,L5,-0.053
ism_services_delta,-0.060,+0.036,+0.011,-0.040,+0.097,-0.013,-0.094,+0.064,-0.004,-0.012,-0.009,-0.017,+0.006,L4,+0.097
ism_services_3m_change,-0.015,+0.009,+0.045,+0.031,-0.007,-0.038,-0.030,+0.034,-0.013,-0.031,-0.014,+0.033,+0.014,L2,+0.045
ism_services_6m_change,+0.014,+0.003,+0.010,+0.004,+0.023,-0.045,-0.049,+0.014,+0.007,-0.011,+0.002,+0.013,+0.001,L6,-0.049
ism_services_zscore_60m,+0.004,+0.058,+0.037,+0.040,+0.058,+0.002,+0.009,+0.055,+0.006,+0.005,+0.003,+0.017,+0.009,L1,+0.058
ism_services_above_50,+0.012,-0.027,-0.034,+0.062,+0.083,-0.001,+0.002,+0.126*,+0.090,+0.019,+0.028,+0.061,-0.023,L7,+0.126
