signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
level,T3_zscore_1.5,P2_signal_strength_pro,1,LB36,0.5116,0.4251,0.5367,0.2717,0.0429,0.1008,-0.1577,0.6235,78,11.01,85,True
level,T3_zscore_1.5,P2_signal_strength_counter,1,LB36,0.3327,1.108,2.0097,1.0682,0.1084,0.0978,-0.1015,0.6,78,11.01,85,True
level,T3_zscore_1.5,P3_long_short_pro,1,LB36,-0.4077,-0.8599,-1.5499,-0.2211,-0.1481,0.1722,-0.6697,0.3765,7,0.99,85,False
level,T3_zscore_1.5,P3_long_short_counter,1,LB36,0.4077,0.8599,1.4601,0.4658,0.1481,0.1722,-0.3178,0.6235,7,0.99,85,True
level,T3_zscore_neg_1.5,P1_long_cash_pro,1,LB36,0.0927,0.8505,0.0,0.0,0.0524,0.0616,0.0,0.0824,10,1.41,85,True
level,T3_zscore_neg_1.5,P1_long_cash_counter,1,LB36,0.5772,0.6055,0.9006,0.413,0.0988,0.1632,-0.2393,0.5765,10,1.41,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_pro,1,LB36,0.5116,0.4251,0.5367,0.2717,0.0429,0.1008,-0.1577,0.6235,78,11.01,85,True
level,T3_zscore_neg_1.5,P2_signal_strength_counter,1,LB36,0.3327,1.108,2.0097,1.0682,0.1084,0.0978,-0.1015,0.6,78,11.01,85,True
level,T3_zscore_neg_1.5,P3_long_short_pro,1,LB36,-0.4726,-0.2624,-0.5479,-0.0874,-0.0464,0.1769,-0.5313,0.4235,10,1.41,85,False
level,T3_zscore_neg_1.5,P3_long_short_counter,1,LB36,0.4726,0.2624,0.4117,0.1285,0.0464,0.1769,-0.3613,0.5765,10,1.41,85,False
level,T2_roll_p25,P1_long_cash_pro,1,LB60,0.7181,0.2332,0.2524,0.1318,0.0306,0.1314,-0.2325,0.3059,19,2.68,85,False
level,T2_roll_p25,P1_long_cash_counter,1,LB60,0.1274,1.061,1.3637,1.3045,0.1206,0.1137,-0.0924,0.3529,19,2.68,85,True
level,T2_roll_p25,P2_signal_strength_pro,1,LB60,0.7208,0.5143,0.6849,0.3387,0.0534,0.1039,-0.1577,0.6471,79,11.15,85,True
level,T2_roll_p25,P2_signal_strength_counter,1,LB60,0.1497,1.0895,1.9152,1.0383,0.0978,0.0898,-0.0942,0.6,79,11.15,85,True
level,T2_roll_p25,P3_long_short_pro,1,LB60,0.3582,-0.5125,-0.8438,-0.1484,-0.09,0.1755,-0.6062,0.4353,19,2.68,85,False
level,T2_roll_p25,P3_long_short_counter,1,LB60,-0.3582,0.5125,1.0612,0.2307,0.09,0.1755,-0.3899,0.5647,19,2.68,85,True
level,T2_roll_p75,P1_long_cash_pro,1,LB60,0.4331,0.257,0.1812,0.2124,0.0187,0.0728,-0.088,0.1294,7,0.99,85,False
level,T2_roll_p75,P1_long_cash_counter,1,LB60,0.4214,0.8436,1.1829,0.6546,0.1325,0.1571,-0.2025,0.5294,7,0.99,85,True
level,T2_roll_p75,P2_signal_strength_pro,1,LB60,0.7208,0.5143,0.6849,0.3387,0.0534,0.1039,-0.1577,0.6471,79,11.15,85,True
level,T2_roll_p75,P2_signal_strength_counter,1,LB60,0.1497,1.0895,1.9152,1.0383,0.0978,0.0898,-0.0942,0.6,79,11.15,85,True
level,T2_roll_p75,P3_long_short_pro,1,LB60,-0.2224,-0.6529,-1.207,-0.1959,-0.1138,0.1744,-0.581,0.4118,7,0.99,85,False
level,T2_roll_p75,P3_long_short_counter,1,LB60,0.2224,0.6529,1.111,0.3656,0.1138,0.1744,-0.3113,0.5882,7,0.99,85,True
level,T3_zscore_1.0,P1_long_cash_pro,1,LB60,0.4327,0.175,0.0916,0.124,0.0109,0.0624,-0.088,0.1059,5,0.71,85,False
level,T3_zscore_1.0,P1_long_cash_counter,1,LB60,0.4519,0.8714,1.2764,0.5864,0.1403,0.161,-0.2393,0.5529,5,0.71,85,True
level,T3_zscore_1.0,P2_signal_strength_pro,1,LB60,0.7208,0.5143,0.6849,0.3387,0.0534,0.1039,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_1.0,P2_signal_strength_counter,1,LB60,0.1497,1.0895,1.9152,1.0383,0.0978,0.0898,-0.0942,0.6,79,11.15,85,True
level,T3_zscore_1.0,P3_long_short_pro,1,LB60,-0.3104,-0.7461,-1.3586,-0.2077,-0.1294,0.1734,-0.6229,0.4,5,0.71,85,False
level,T3_zscore_1.0,P3_long_short_counter,1,LB60,0.3104,0.7461,1.279,0.3402,0.1294,0.1734,-0.3803,0.6,5,0.71,85,True
level,T3_zscore_neg_1.0,P1_long_cash_pro,1,LB60,-0.0549,1.2018,1.6127,2.3098,0.0931,0.0775,-0.0403,0.2118,21,2.96,85,True
level,T3_zscore_neg_1.0,P1_long_cash_counter,1,LB60,0.7341,0.3714,0.5175,0.2428,0.0581,0.1564,-0.2393,0.4471,21,2.96,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_pro,1,LB60,0.7208,0.5143,0.6849,0.3387,0.0534,0.1039,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_neg_1.0,P2_signal_strength_counter,1,LB60,0.1497,1.0895,1.9152,1.0383,0.0978,0.0898,-0.0942,0.6,79,11.15,85,True
level,T3_zscore_neg_1.0,P3_long_short_pro,1,LB60,-0.6249,0.1977,0.425,0.0898,0.035,0.1772,-0.3899,0.5294,21,2.96,85,False
level,T3_zscore_neg_1.0,P3_long_short_counter,1,LB60,0.6249,-0.1977,-0.3186,-0.0831,-0.035,0.1772,-0.4212,0.4706,21,2.96,85,False
level,T3_zscore_1.5,P1_long_cash_pro,1,LB60,-0.1697,0.0303,0.011,0.0181,0.0016,0.0525,-0.088,0.0706,7,0.99,85,False
level,T3_zscore_1.5,P1_long_cash_counter,1,LB60,0.5863,0.9133,1.3889,0.6254,0.1496,0.1638,-0.2393,0.5882,7,0.99,85,True
level,T3_zscore_1.5,P2_signal_strength_pro,1,LB60,0.7208,0.5143,0.6849,0.3387,0.0534,0.1039,-0.1577,0.6471,79,11.15,85,True
level,T3_zscore_1.5,P2_signal_strength_counter,1,LB60,0.1497,1.0895,1.9152,1.0383,0.0978,0.0898,-0.0942,0.6,79,11.15,85,True
level,T3_zscore_1.5,P3_long_short_pro,1,LB60,-0.6043,-0.8599,-1.5499,-0.2211,-0.1481,0.1722,-0.6697,0.3765,7,0.99,85,False
level,T3_zscore_1.5,P3_long_short_counter,1,LB60,0.6043,0.8599,1.4601,0.4658,0.1481,0.1722,-0.3178,0.6235,7,0.99,85,True
level,T3_zscore_neg_1.5,P1_long_cash_pro,1,LB60,-0.2104,0.7564,0.0,0.0,0.0433,0.0572,0.0,0.0706,8,1.13,85,True
level,T3_zscore_neg_1.5,P1_long_cash_counter,1,LB60,0.7676,0.6562,0.984,0.4513,0.108,0.1646,-0.2393,0.5882,8,1.13,85,True
