quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,86,0.0401,0.1922,0.209,-0.6025
Q2,90,0.1159,0.1511,0.767,-0.2058
Q3,78,0.1335,0.1335,1.001,-0.1854
Q4,85,0.1097,0.1273,0.861,-0.178
