lead_months,oos_sharpe,is_published_winner,lead_source
1,1.3421,False,pipeline
2,1.2078,False,pipeline
3,1.5377,True,pipeline
4,0.8315,False,patched
5,0.2839,False,patched
6,0.248,False,pipeline
7,0.9736,False,patched
8,0.7399,False,patched
9,0.5195,False,patched
10,0.9875,False,patched
11,1.0333,False,patched
12,0.5085,False,pipeline
