quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,89,0.0015,0.1851,0.008,-0.4304
Q2,81,0.0612,0.1625,0.376,-0.3717
Q3,85,0.1753,0.1227,1.428,-0.1451
Q4,82,0.1668,0.1283,1.3,-0.1179
