lag,f_statistic,p_value,df_num,df_den
1,0.9836,0.322,1,332
2,0.9608,0.3837,2,329
3,0.8769,0.4533,3,326
4,0.9298,0.4468,4,323
5,1.1323,0.343,5,320
6,1.1569,0.3293,6,317
7,1.7013,0.108,7,314
8,1.416,0.1888,8,311
9,1.2032,0.2923,9,308
10,1.0857,0.3727,10,305
11,1.1877,0.2947,11,302
12,1.0391,0.4126,12,299
