signal,horizon,coef,se,t_stat,p_value,r_squared,n
umcsent_yoy,xlv_fwd_1m,0.000149,0.000172,0.869,0.385,0.0026,312.0
umcsent_yoy,xlv_fwd_3m,0.000544,0.0003,1.81,0.0702,0.0127,310.0
umcsent_yoy,xlv_fwd_6m,0.000997,0.000445,2.238,0.0252,0.024,307.0
umcsent_yoy,xlv_fwd_12m,0.001131,0.00061,1.855,0.0636,0.0144,301.0
umcsent_mom,xlv_fwd_1m,-0.000171,0.000432,-0.397,0.6917,0.0005,312.0
umcsent_mom,xlv_fwd_3m,0.000296,0.000702,0.422,0.6732,0.0006,310.0
umcsent_mom,xlv_fwd_6m,0.001181,0.00094,1.257,0.2088,0.0055,307.0
umcsent_mom,xlv_fwd_12m,0.001299,0.001433,0.906,0.3648,0.0031,301.0
umcsent_zscore,xlv_fwd_1m,0.00075,0.001924,0.39,0.6966,0.0006,301.0
umcsent_zscore,xlv_fwd_3m,0.004267,0.00298,1.432,0.1522,0.0068,299.0
umcsent_zscore,xlv_fwd_6m,0.012722,0.004531,2.808,0.005,0.0344,296.0
umcsent_zscore,xlv_fwd_12m,0.017169,0.006935,2.476,0.0133,0.0312,290.0
