test_start,test_end,train_n,test_n,accuracy,precision,recall
2010,2012,110,36,0.7222,0.7222,1.0
2011,2013,122,36,0.8333,0.8571,0.9677
2012,2014,134,36,0.8889,1.0,0.8857
2013,2015,146,36,0.8333,0.8333,1.0
2014,2016,158,36,0.75,0.75,1.0
2015,2017,170,36,0.7222,0.7222,1.0
2016,2018,182,36,0.7778,0.7778,1.0
2017,2019,194,36,0.7222,0.7222,1.0
2018,2020,206,36,0.7222,0.7222,1.0
2019,2021,218,36,0.75,0.75,1.0
2020,2022,230,36,0.75,0.8148,0.8462
2021,2023,242,36,0.6389,0.6774,0.875
2022,2024,254,36,0.5833,0.6207,0.8182
