horizon_days,coef,se,t_stat,p_value,ci_lower,ci_upper,r_squared,n
5,0.000115,0.001995,0.058,0.9541,-0.003796,0.004025,0.0051,8583
21,-0.002869,0.006624,-0.433,0.6649,-0.015852,0.010114,0.0153,8567
63,-0.021903,0.01096,-1.998,0.0457,-0.043383,-0.000422,0.0407,8525
