quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,99,0.1272,0.1715,0.742,-0.5078
Q2,98,0.1828,0.124,1.474,-0.1548
Q3,98,0.0394,0.1444,0.273,-0.4707
Q4,98,0.1029,0.146,0.705,-0.1998
