lag,f_statistic,p_value,df_num,df_den
1,3.7181,0.0546,1,386
2,1.4327,0.2399,2,383
3,1.9062,0.1281,3,380
4,2.1818,0.0705,4,377
5,2.5444,0.0279,5,374
6,1.9092,0.0784,6,371
7,1.6972,0.1083,7,368
8,1.9173,0.0563,8,365
9,1.7011,0.0872,9,362
10,1.5134,0.1325,10,359
11,1.3355,0.2027,11,356
12,1.487,0.1267,12,353
