lag,f_stat,p_value,direction
1,4.929032384340571,0.026981887253991095,NHS_to_SPY
2,3.246226365193681,0.03998040440660165,NHS_to_SPY
3,1.6129546864737843,0.18586066003913443,NHS_to_SPY
4,1.1752162555106076,0.32124117373452404,NHS_to_SPY
5,2.6068343274445156,0.024671810086007207,NHS_to_SPY
6,2.2796370128148338,0.035667967331971515,NHS_to_SPY
7,1.9344355640725766,0.06316260162518729,NHS_to_SPY
8,1.6921595581188167,0.09872322185360585,NHS_to_SPY
9,1.453734285719698,0.16361643032281903,NHS_to_SPY
10,1.4332333582147438,0.16358632130792178,NHS_to_SPY
11,1.6734563592374196,0.07757955612227373,NHS_to_SPY
12,1.5937758494000525,0.09121289976785191,NHS_to_SPY
