quantile,coef,p_value,ci_lower,ci_upper
0.05,-0.019397,0.0055,-0.033098,-0.005696
0.1,-0.016812,0.0,-0.024862,-0.008761
0.25,-0.009817,0.0,-0.014265,-0.005369
0.5,-0.001149,0.3382,-0.0035,0.001202
0.75,0.005576,0.0,0.00331,0.007841
0.9,0.007422,0.0003,0.003376,0.011467
0.95,0.014654,0.0,0.008001,0.021306
