quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,100,0.0364,0.1848,0.197,-0.5078
Q2,101,0.0858,0.1341,0.639,-0.3242
Q3,100,0.1587,0.1438,1.103,-0.1872
Q4,99,0.1791,0.1191,1.503,-0.1049
