lag,f_statistic,p_value,df_num,df_den
1,1.855,0.174,1,393
2,0.8048,0.4479,2,390
3,0.4589,0.7111,3,387
4,1.1176,0.3478,4,384
5,1.1734,0.3216,5,381
6,1.1135,0.3537,6,378
7,0.9047,0.5028,7,375
8,1.5818,0.1285,8,372
9,1.3474,0.2108,9,369
10,1.5563,0.1179,10,366
11,1.8346,0.047,11,363
12,1.6325,0.0807,12,360
