lag,f_stat,p_value,direction
1,1.1295830406288248,0.2890295271454334,signal_to_SPY
2,2.0013064243017307,0.1376455981372451,signal_to_SPY
3,1.6815077338799762,0.1719737391362879,signal_to_SPY
4,1.1980821594255522,0.31270208066160154,signal_to_SPY
5,0.9530959112107836,0.4477187305842856,signal_to_SPY
6,0.8293638571773067,0.5483788046146689,signal_to_SPY
7,0.8862765276261121,0.518237821030697,signal_to_SPY
8,0.8476351236331733,0.5618654377647756,signal_to_SPY
9,0.8495521778018,0.5714599115487322,signal_to_SPY
10,0.9771313772515421,0.46469535681875884,signal_to_SPY
11,0.9108358080564694,0.5310230011925088,signal_to_SPY
12,0.8300874124878308,0.6193299343838508,signal_to_SPY
