lag,ccf,upper_ci,lower_ci,significant
-12,0.09298606674524877,0.13125130791575532,-0.13125130791575532,False
-11,0.0869019841480013,0.13095800853708794,-0.13095800853708794,False
-10,0.11038286255173053,0.13095800853708794,-0.13095800853708794,False
-9,0.08187474079243164,0.13095800853708794,-0.13095800853708794,False
-8,0.08351548700440452,0.13095800853708794,-0.13095800853708794,False
-7,0.08978630805058736,0.13095800853708794,-0.13095800853708794,False
-6,0.06537251037997191,0.13095800853708794,-0.13095800853708794,False
-5,0.06833143429245739,0.13095800853708794,-0.13095800853708794,False
-4,0.08228709875562437,0.13095800853708794,-0.13095800853708794,False
-3,0.10225093535041734,0.13095800853708794,-0.13095800853708794,False
-2,0.09810290438919672,0.13095800853708794,-0.13095800853708794,False
-1,0.0795348381874724,0.13095800853708794,-0.13095800853708794,False
0,0.04397455074609646,0.13095800853708794,-0.13095800853708794,False
1,0.07199610734492676,0.13125130791575532,-0.13125130791575532,False
2,0.018586576655822327,0.13154658682194875,-0.13154658682194875,False
3,-0.021430221576078795,0.13184386762327724,-0.13184386762327724,False
4,-0.009206924354611741,0.13214317304279544,-0.13214317304279544,False
5,-0.022234810078467972,0.13244452616629923,-0.13244452616629923,False
6,0.0024948353129083728,0.1327479504498049,-0.1327479504498049,False
7,0.021921322207125157,0.13305346972721763,-0.13305346972721763,False
8,-0.011141937717980874,0.13336110821819525,-0.13336110821819525,False
9,-0.011412907908427505,0.1336708905362128,-0.1336708905362128,False
10,0.010825462683993668,0.133982841696834,-0.133982841696834,False
11,-0.027110291909787802,0.1342969871261962,-0.1342969871261962,False
12,-0.0025104427322797723,0.13461335266971525,-0.13461335266971525,False
