horizon,coef,p_value,r_squared
1,4.488899856288769e-05,0.2844038271796779,0.005183439472822214
3,4.602939052649543e-05,0.5185072155728037,0.0019060089551480631
6,2.6512790635253664e-05,0.8031604900651635,0.0002882640057939175
12,-2.8343476055577525e-06,0.9895535541825163,8.182695000114667e-07
