signal,signal_column,threshold,strategy,lead_quarters,direction,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
level,ccdelinq_level,T0_zero,P1_long_cash,0,countercyclical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,1,countercyclical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,2,countercyclical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,3,countercyclical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,4,countercyclical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,0,procyclical,0.8677502313408922,0.8677502313408922,1.0348681499374532,0.5965311561377296,0.14273300477147743,0.17366048676697235,-0.2392716680476663,0.75,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,1,procyclical,0.8677502313408922,0.8677502313408922,1.0348681499374532,0.5965311561377296,0.14273300477147743,0.17366048676697235,-0.2392716680476663,0.75,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,2,procyclical,0.8677502313408922,0.8677502313408922,1.0348681499374532,0.5965311561377296,0.14273300477147743,0.17366048676697235,-0.2392716680476663,0.75,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,3,procyclical,0.8677502313408922,0.8677502313408922,1.0348681499374532,0.5965311561377296,0.14273300477147743,0.17366048676697235,-0.2392716680476663,0.75,0.0,32,32,False
level,ccdelinq_level,T0_zero,P1_long_cash,4,procyclical,0.8677502313408922,0.8677502313408922,1.0348681499374532,0.5965311561377296,0.14273300477147743,0.17366048676697235,-0.2392716680476663,0.75,0.0,32,32,False
level,ccdelinq_level,T_roll_p50,P1_long_cash,0,countercyclical,0.4372379515474733,0.4372379515474733,0.35512466813619387,0.1943575692935202,0.04650425980255046,0.12010994332964489,-0.2392716680476663,0.21875,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,1,countercyclical,0.3625818305019746,0.3625818305019746,0.24522341080148327,0.13420928010262628,0.032112478317631865,0.1013993807016859,-0.2392716680476663,0.21875,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,2,countercyclical,0.34821846971686743,0.34821846971686743,0.23085520815524824,0.12634565025090344,0.030230934486100702,0.0999098029562922,-0.2392716680476662,0.21875,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,3,countercyclical,0.31909613016058597,0.31909613016058597,0.20028620480828788,0.10961542078691655,0.026227864575432358,0.09555974266419777,-0.2392716680476663,0.21875,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,4,countercyclical,0.25220372367615196,0.25220372367615196,0.1648059545171048,0.08228224380208185,0.019687809725228878,0.09532874889591565,-0.2392716680476663,0.21875,0.375,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,0,procyclical,0.7239163526298638,0.7239163526298638,0.5850389500654933,0.47281986059155806,0.09195255926343093,0.13561967709144007,-0.19447693916322917,0.53125,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,1,procyclical,0.7674421369316057,0.7674421369316057,0.6819140710587901,0.5511129062045266,0.10717875113200814,0.14845204480918622,-0.19447693916322917,0.53125,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,2,procyclical,0.7768930622213133,0.7768930622213133,0.6947793277485754,0.5615104171289838,0.10920082723151281,0.14918847201475074,-0.19447693916322917,0.53125,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,3,procyclical,0.793998932197573,0.793998932197573,0.7223076990106315,0.5837584412323036,0.11352755486155619,0.1513870845529239,-0.19447693916322917,0.53125,0.25,32,32,True
level,ccdelinq_level,T_roll_p50,P1_long_cash,4,procyclical,0.8806530990057421,0.8806530990057421,0.7486967059418198,0.6516898255885794,0.12673864256428558,0.15008304046327278,-0.19447693916322917,0.5625,0.25,32,32,True
level,ccdelinq_level,T_roll_p75,P1_long_cash,0,countercyclical,0.8177243174816596,0.8177243174816596,0.7719347003290785,0.42247516286799625,0.10108633692813496,0.12881950871679304,-0.2392716680476663,0.40625,0.875,32,32,True
level,ccdelinq_level,T_roll_p75,P1_long_cash,1,countercyclical,0.6346393352498841,0.6346393352498841,0.5505659148746649,0.2748796241590391,0.06577090618484882,0.11059030206804982,-0.2392716680476661,0.375,0.875,32,32,True
level,ccdelinq_level,T_roll_p75,P1_long_cash,2,countercyclical,0.5044777329963861,0.5044777329963861,0.4888908694801738,0.24081306340330638,0.057619743368177545,0.12776467829872434,-0.2392716680476663,0.375,0.875,32,32,True
level,ccdelinq_level,T_roll_p75,P1_long_cash,3,countercyclical,0.4212653966564812,0.4212653966564812,0.3306008138098847,0.2101953885793448,0.05029380124130722,0.14083361973944794,-0.2392716680476663,0.375,0.875,32,32,True
level,ccdelinq_level,T_roll_p75,P1_long_cash,4,countercyclical,0.7762742163285418,0.7762742163285418,0.8053436849050318,0.3954346521690254,0.09461630882833139,0.12778096435156822,-0.2392716680476662,0.4375,0.875,32,32,True
