date,rolling_corr
1996-12-31,0.6469846552279384
1997-03-31,0.5901043687992438
1997-06-30,0.5295507496721358
1997-09-30,0.5316990527678958
1997-12-31,0.5227282517403697
1998-03-31,0.47300641925767206
1998-06-30,0.47341139874474464
1998-09-30,0.40199734992683717
1998-12-31,0.3039550683868547
1999-03-31,0.1967990582473195
1999-06-30,0.09317372743811381
1999-09-30,0.1432070841690865
1999-12-31,-0.04506383293698697
2000-03-31,0.03021631000333416
2000-06-30,0.07279599952910158
2000-09-30,0.08779867932189657
2000-12-31,0.11227555001913599
2001-03-31,0.02894280546051906
2001-06-30,0.03403745531071297
2001-09-30,-0.07695446905344137
2001-12-31,-0.1448654890728176
2002-03-31,-0.1605571388701371
2002-06-30,-0.2423678928906536
2002-09-30,-0.19002784227190261
2002-12-31,-0.1717281160080012
2003-03-31,-0.15544447543903203
2003-06-30,-0.22596481618983968
2003-09-30,-0.21065683569241242
2003-12-31,-0.29184434137514137
2004-03-31,-0.2882313178650149
2004-06-30,-0.28041651118175637
2004-09-30,-0.282933764732696
2004-12-31,-0.31754399829662816
2005-03-31,-0.2890257465863458
2005-06-30,-0.2890818676603331
2005-09-30,-0.2897187756854606
2005-12-31,-0.26972510089560925
2006-03-31,-0.14857254706365014
2006-06-30,-0.22482970114126746
2006-09-30,-0.0015000606454107991
2006-12-31,0.001401460142167441
2007-03-31,0.00101482624274601
2007-06-30,0.016733679853835146
2007-09-30,0.02026812316372391
2007-12-31,-0.17642503962444153
2008-03-31,-0.4162483429888424
2008-06-30,-0.48210921325576533
2008-09-30,-0.5150683334433696
2008-12-31,-0.6096739161830074
2009-03-31,-0.6602693087091125
2009-06-30,-0.2658805843187265
2009-09-30,-0.07895639000913955
2009-12-31,-0.008750740746675287
2010-03-31,-0.07625677529905542
2010-06-30,0.1082530702213188
2010-09-30,-0.03774949970120389
2010-12-31,-0.14672571157443665
2011-03-31,-0.1792673048279988
2011-06-30,-0.16238796769371383
2011-09-30,-0.09152538314571348
2011-12-31,-0.1360312440946977
2012-03-31,-0.1602970697779096
2012-06-30,-0.15360491651011626
2012-09-30,-0.16368196441963537
2012-12-31,-0.14988591242391303
2013-03-31,-0.11147433153583823
2013-06-30,-0.09275396065283749
2013-09-30,-0.058846399707868584
2013-12-31,0.12434650153668264
2014-03-31,0.38551837872354994
2014-06-30,0.2652633167733459
2014-09-30,0.05910073498116067
2014-12-31,0.03437692864733463
2015-03-31,0.010527793120432654
2015-06-30,-0.18443369117817113
2015-09-30,-0.16248556726966087
2015-12-31,0.03712272985786471
2016-03-31,0.12161792605308257
2016-06-30,0.060516809411780295
2016-09-30,-0.40040451283881423
2016-12-31,-0.24629992177877277
2017-03-31,0.020896705949267645
2017-06-30,-0.1537524685744935
2017-09-30,-0.06481601455829358
2017-12-31,-0.1331737163913503
2018-03-31,-0.035867753010680944
2018-06-30,-0.043574406466581055
2018-09-30,0.001874464012773135
2018-12-31,0.07412501781129735
2019-03-31,0.08166656024734047
2019-06-30,0.13695271901231149
2019-09-30,0.11832007080472554
2019-12-31,0.18087505691522665
2020-03-31,-0.002446489662335297
2020-06-30,-0.26596044932660834
2020-09-30,-0.3251378835471355
2020-12-31,-0.3855389479345426
2021-03-31,-0.3337965416675831
2021-06-30,-0.33816608586858754
2021-09-30,-0.3008821639003471
2021-12-31,-0.33612974329937595
2022-03-31,-0.3375608626673325
2022-06-30,-0.41038647522345256
2022-09-30,-0.4607393022487798
2022-12-31,-0.3755372208290929
2023-03-31,-0.2849803293282132
2023-06-30,-0.20769560715987304
2023-09-30,-0.24363742405541275
2023-12-31,-0.17773706480678994
2024-03-31,-0.1365251656789877
2024-06-30,-0.13397769586577996
2024-09-30,-0.1325780312242461
2024-12-31,-0.12901586155417516
2025-03-31,-0.11426025820360142
2025-06-30,-0.10056237172806369
