direction,lag,f_statistic,p_value,significant
indicator_to_target,1,0.0726,0.7878,False
target_to_indicator,1,0.1721,0.6785,False
indicator_to_target,2,0.1552,0.8563,False
target_to_indicator,2,0.6633,0.5157,False
indicator_to_target,3,0.1672,0.9185,False
target_to_indicator,3,1.1672,0.3221,False
indicator_to_target,4,0.8228,0.5113,False
target_to_indicator,4,1.106,0.3534,False
indicator_to_target,5,1.6187,0.1542,False
target_to_indicator,5,0.7631,0.5769,False
indicator_to_target,6,2.2226,0.0405,True
target_to_indicator,6,0.9283,0.4745,False
indicator_to_target,7,2.2485,0.03,True
target_to_indicator,7,1.6263,0.1267,False
indicator_to_target,8,2.1255,0.0328,True
target_to_indicator,8,1.4949,0.1575,False
indicator_to_target,9,1.8204,0.0634,False
target_to_indicator,9,1.3084,0.2309,False
indicator_to_target,10,1.7162,0.0756,False
target_to_indicator,10,1.1279,0.3401,False
indicator_to_target,11,1.5374,0.1163,False
target_to_indicator,11,1.0057,0.4408,False
indicator_to_target,12,1.4672,0.1346,False
target_to_indicator,12,1.1302,0.3342,False
