lag,f_stat,p_value,direction
1,0.32094436072961396,0.5713786644378097,NEWORDERS_to_SPY
2,0.4396525488316027,0.6445936592531134,NEWORDERS_to_SPY
3,0.4677809741905625,0.704930447495423,NEWORDERS_to_SPY
4,0.63789375274066,0.6357658386841547,NEWORDERS_to_SPY
5,0.45004358881462,0.8132151069664525,NEWORDERS_to_SPY
6,0.9737856596310305,0.44273737585308914,NEWORDERS_to_SPY
7,0.8576183990522463,0.5403355939939132,NEWORDERS_to_SPY
8,0.8625826702493082,0.5483311683872456,NEWORDERS_to_SPY
9,0.7453893832747331,0.6671607179682644,NEWORDERS_to_SPY
10,0.6942364779651041,0.7299071361746476,NEWORDERS_to_SPY
11,0.6161854153141691,0.8150884402633799,NEWORDERS_to_SPY
12,0.5928886970391555,0.8479515962311037,NEWORDERS_to_SPY
