period,strategy_sharpe,buy_hold_sharpe,strategy_return,buy_hold_return
Dot_Com,-0.9230214456947919,-0.702490464944421,-0.382178754372967,-0.3336526574240295
GFC,-0.7965715250644076,-1.0264983601401811,-0.2893444152702508,-0.3550448550108465
COVID,0.0,-0.6631160115799439,0.0,-0.09182198973365074
Rate_Hike_2022,0.0,-0.7570044954806008,0.0,-0.1817536812386571
