regime,n_days,ann_return_pct,ann_vol_pct,sharpe
Q1_low,507,10.39,21.74,0.478
Q2,551,18.12,16.03,1.13
Q3,467,31.38,15.98,1.963
Q4_high,497,3.15,21.78,0.145
