pair_name,horizon_days,metric,value,p_value,n_obs
rs_mom12m__spy_fwd_5d,5,kendall,0.0157,0.0376,7828
rs_mom12m__spy_fwd_5d,5,distance,0.08,,2000
rs_mom12m__spy_fwd_21d,21,pearson,0.0559,0.0,7812
rs_mom12m__spy_fwd_21d,21,spearman,0.0463,0.0,7812
rs_mom12m__spy_fwd_21d,21,kendall,0.0315,0.0,7812
rs_mom12m__spy_fwd_21d,21,distance,0.114,,2000
rs_mom12m__spy_fwd_63d,63,pearson,0.0482,0.0,7770
rs_mom12m__spy_fwd_63d,63,spearman,0.0837,0.0,7770
rs_mom12m__spy_fwd_63d,63,kendall,0.059,0.0,7770
rs_mom12m__spy_fwd_63d,63,distance,0.1646,,2000
rs_mom12m__spy_fwd_126d,126,pearson,0.0132,0.2478,7707
rs_mom12m__spy_fwd_126d,126,spearman,0.0804,0.0,7707
rs_mom12m__spy_fwd_126d,126,kendall,0.0553,0.0,7707
rs_mom12m__spy_fwd_126d,126,distance,0.1421,,2000
rs_mom12m__spy_fwd_252d,252,pearson,-0.0942,0.0,7581
rs_mom12m__spy_fwd_252d,252,spearman,-0.0336,0.0034,7581
rs_mom12m__spy_fwd_252d,252,kendall,-0.0254,0.0009,7581
rs_mom12m__spy_fwd_252d,252,distance,0.1565,,2000
rs_zscore126__spy_fwd_1d,1,pearson,0.0176,0.1164,7959
rs_zscore126__spy_fwd_1d,1,spearman,0.0122,0.2778,7959
rs_zscore126__spy_fwd_1d,1,kendall,0.0081,0.2783,7959
rs_zscore126__spy_fwd_1d,1,distance,0.0825,,2000
rs_zscore126__spy_fwd_5d,5,pearson,0.0338,0.0025,7955
rs_zscore126__spy_fwd_5d,5,spearman,0.0155,0.1656,7955
rs_zscore126__spy_fwd_5d,5,kendall,0.0097,0.1924,7955
rs_zscore126__spy_fwd_5d,5,distance,0.0848,,2000
rs_zscore126__spy_fwd_21d,21,pearson,0.092,0.0,7939
rs_zscore126__spy_fwd_21d,21,spearman,0.0575,0.0,7939
rs_zscore126__spy_fwd_21d,21,kendall,0.038,0.0,7939
rs_zscore126__spy_fwd_21d,21,distance,0.1223,,2000
rs_zscore126__spy_fwd_63d,63,pearson,0.1369,0.0,7897
rs_zscore126__spy_fwd_63d,63,spearman,0.1262,0.0,7897
rs_zscore126__spy_fwd_63d,63,kendall,0.0858,0.0,7897
rs_zscore126__spy_fwd_63d,63,distance,0.1579,,2000
rs_zscore126__spy_fwd_126d,126,pearson,0.1318,0.0,7834
rs_zscore126__spy_fwd_126d,126,spearman,0.1657,0.0,7834
