fwd_horizon_days,rs_coef,rs_se,rs_p_value,rs_adds_over_spy_own_momentum,r2_spy_own,r2_plus_rs,incremental_r2,n
21,0.000316,0.000148,0.0332,True,0.00513,0.01267,0.00754,8001
63,0.000682,0.000383,0.0748,False,0.00256,0.01548,0.01292,7959
