signal,horizon,coef,se,t_stat,p_value,r_squared,n
rs_mom1m,spy_fwd_1d,1.497e-05,2.126e-05,0.704,0.4812,8e-05,8063
rs_mom1m,spy_fwd_5d,3.188e-05,4.13e-05,0.772,0.4402,9e-05,8059
rs_mom1m,spy_fwd_21d,0.00031959,7.941e-05,4.025,0.0001,0.00253,8043
rs_mom1m,spy_fwd_63d,0.00071612,0.00012059,5.938,0.0,0.00462,8001
rs_mom1m,spy_fwd_126d,0.00117593,0.00017095,6.879,0.0,0.00588,7938
rs_mom1m,spy_fwd_252d,0.00128227,0.00031247,4.104,0.0,0.00295,7812
rs_mom3m,spy_fwd_1d,1.2e-05,1.234e-05,0.973,0.3308,0.00018,8021
rs_mom3m,spy_fwd_5d,4.509e-05,2.547e-05,1.77,0.0767,0.0006,8017
rs_mom3m,spy_fwd_21d,0.0002433,4.586e-05,5.305,0.0,0.00471,8001
rs_mom3m,spy_fwd_63d,0.00058475,6.625e-05,8.827,0.0,0.00997,7959
rs_mom3m,spy_fwd_126d,0.0008978,9.556e-05,9.395,0.0,0.0111,7896
rs_mom3m,spy_fwd_252d,0.00053241,0.00018989,2.804,0.005,0.00164,7770
rs_mom6m,spy_fwd_1d,9.27e-06,7.76e-06,1.194,0.2326,0.00023,7958
rs_mom6m,spy_fwd_5d,4.295e-05,1.603e-05,2.68,0.0074,0.0012,7954
rs_mom6m,spy_fwd_21d,0.00017853,2.904e-05,6.147,0.0,0.00558,7938
rs_mom6m,spy_fwd_63d,0.00039306,4.149e-05,9.473,0.0,0.0099,7896
rs_mom6m,spy_fwd_126d,0.00056486,6.374e-05,8.861,0.0,0.00959,7833
rs_mom6m,spy_fwd_252d,5.164e-05,0.00012036,0.429,0.6679,3e-05,7707
rs_mom12m,spy_fwd_1d,4.44e-06,4.97e-06,0.894,0.3713,0.00013,7832
rs_mom12m,spy_fwd_5d,1.992e-05,1.057e-05,1.885,0.0594,0.00062,7828
rs_mom12m,spy_fwd_21d,8.654e-05,1.922e-05,4.502,0.0,0.00312,7812
rs_mom12m,spy_fwd_63d,0.00012383,2.807e-05,4.412,0.0,0.00232,7770
rs_mom12m,spy_fwd_126d,4.907e-05,4.309e-05,1.139,0.2548,0.00017,7707
rs_mom12m,spy_fwd_252d,-0.00053432,7.067e-05,-7.56,0.0,0.00887,7581
rs_zscore126,spy_fwd_1d,0.00014999,0.00010823,1.386,0.1658,0.00031,7959
rs_zscore126,spy_fwd_5d,0.00058584,0.00021272,2.754,0.0059,0.00115,7955
rs_zscore126,spy_fwd_21d,0.00305099,0.00040345,7.562,0.0,0.00847,7939
rs_zscore126,spy_fwd_63d,0.00749071,0.00063353,11.824,0.0,0.01875,7897
rs_zscore126,spy_fwd_126d,0.0105087,0.00087838,11.964,0.0,0.01737,7834
rs_zscore126,spy_fwd_252d,0.0151701,0.00144255,10.516,0.0,0.01529,7708
rs_zscore252,spy_fwd_1d,0.00014571,0.00010522,1.385,0.1661,0.00031,7833
