parameter,value,se
p[0->0],0.9173082232138857,
p[1->0],0.060664091278034855,
const[0],292.67962935048877,
const[1],-53.44067444876987,
x1[0],292.67962935048877,
x1[1],-53.44067444876987,
x2[0],918.6951714840982,
x2[1],-176.89295013002,
sigma2[0],17309.209893870047,
sigma2[1],11.635774569702312,
