direction,lag,f_statistic,p_value,significant
indicator_to_target,1,0.2131,0.6446,False
target_to_indicator,1,7.3935,0.0068,True
indicator_to_target,2,0.8321,0.4359,False
target_to_indicator,2,4.8278,0.0085,True
indicator_to_target,3,0.7384,0.5297,False
target_to_indicator,3,3.5929,0.0138,True
indicator_to_target,4,0.631,0.6406,False
target_to_indicator,4,2.8763,0.0228,True
indicator_to_target,5,0.5904,0.7074,False
target_to_indicator,5,2.3397,0.0413,True
indicator_to_target,6,0.6133,0.7197,False
target_to_indicator,6,1.934,0.0745,False
indicator_to_target,7,0.6005,0.7555,False
target_to_indicator,7,1.9681,0.0585,False
indicator_to_target,8,0.5119,0.8474,False
target_to_indicator,8,2.0625,0.0387,True
indicator_to_target,9,0.4652,0.8975,False
target_to_indicator,9,1.835,0.0608,False
indicator_to_target,10,0.4181,0.9377,False
target_to_indicator,10,1.6821,0.0833,False
indicator_to_target,11,0.3773,0.9644,False
target_to_indicator,11,1.3843,0.1782,False
indicator_to_target,12,0.3652,0.9747,False
target_to_indicator,12,1.5211,0.1143,False
