test,statistic,p_value,interpretation
Jarque-Bera,71.837,0.0,Non-normal — robust/HAC inference used
Breusch-Pagan,1.454,0.2279,Homoskedastic
Breusch-Godfrey (12),234.094,0.0,Serial correlation (overlapping fwd returns) — HAC SEs used
RESET,8.264,0.0003,Possible nonlinearity — see quantile regression
