lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,-0.0469,-0.1011,0.1011,False,AR(12),356
-19,0.0042,-0.1011,0.1011,False,AR(12),357
-18,0.0213,-0.1011,0.1011,False,AR(12),358
-17,-0.0211,-0.1011,0.1011,False,AR(12),359
-16,0.0228,-0.1011,0.1011,False,AR(12),360
-15,0.0092,-0.1011,0.1011,False,AR(12),361
-14,0.0291,-0.1011,0.1011,False,AR(12),362
-13,-0.0083,-0.1011,0.1011,False,AR(12),363
-12,-0.0665,-0.1011,0.1011,False,AR(12),364
-11,0.0415,-0.1011,0.1011,False,AR(12),365
-10,0.0039,-0.1011,0.1011,False,AR(12),366
-9,0.0046,-0.1011,0.1011,False,AR(12),367
-8,-0.059,-0.1011,0.1011,False,AR(12),368
-7,0.0932,-0.1011,0.1011,False,AR(12),369
-6,-0.0699,-0.1011,0.1011,False,AR(12),370
-5,0.001,-0.1011,0.1011,False,AR(12),371
-4,-0.0046,-0.1011,0.1011,False,AR(12),372
-3,0.0507,-0.1011,0.1011,False,AR(12),373
-2,-0.0738,-0.1011,0.1011,False,AR(12),374
-1,0.0073,-0.1011,0.1011,False,AR(12),375
0,0.0906,-0.1011,0.1011,False,AR(12),376
1,-0.0701,-0.1011,0.1011,False,AR(12),375
2,0.0262,-0.1011,0.1011,False,AR(12),374
3,0.0086,-0.1011,0.1011,False,AR(12),373
4,-0.0156,-0.1011,0.1011,False,AR(12),372
5,0.0092,-0.1011,0.1011,False,AR(12),371
6,-0.0084,-0.1011,0.1011,False,AR(12),370
7,0.0109,-0.1011,0.1011,False,AR(12),369
8,-0.0235,-0.1011,0.1011,False,AR(12),368
9,0.013,-0.1011,0.1011,False,AR(12),367
10,-0.0079,-0.1011,0.1011,False,AR(12),366
11,-0.0043,-0.1011,0.1011,False,AR(12),365
12,-0.0184,-0.1011,0.1011,False,AR(12),364
13,0.0503,-0.1011,0.1011,False,AR(12),363
14,-0.0233,-0.1011,0.1011,False,AR(12),362
15,-0.0284,-0.1011,0.1011,False,AR(12),361
16,0.035,-0.1011,0.1011,False,AR(12),360
17,0.0092,-0.1011,0.1011,False,AR(12),359
18,-0.0393,-0.1011,0.1011,False,AR(12),358
19,-0.024,-0.1011,0.1011,False,AR(12),357
20,0.0738,-0.1011,0.1011,False,AR(12),356
