tau,coef,se,p_value,ci_lower,ci_upper
0.05,-0.00746,0.001697,0.0,-0.010797,-0.004123
0.1,-0.003397,0.001373,0.0138,-0.006096,-0.000698
0.25,-0.000876,0.001003,0.3829,-0.002848,0.001096
0.5,0.000996,0.000918,0.2791,-0.00081,0.002801
0.75,0.000579,0.001186,0.6253,-0.001752,0.002911
0.9,0.001061,0.00189,0.5747,-0.002654,0.004777
0.95,0.001232,0.001725,0.4754,-0.002159,0.004624
