horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,0.000248,0.000495,-0.000722,0.001217,0.6168,fwd
3,0.000507,0.001519,-0.00247,0.003484,0.7387,fwd
6,0.000209,0.003374,-0.006403,0.006822,0.9505,fwd
12,-0.002818,0.006706,-0.015961,0.010325,0.6743,fwd
1,1.966203,5.569238,-8.949302,12.881708,0.7241,rev
3,-0.994053,6.126888,-13.002532,11.014426,0.8711,rev
6,-2.05667,5.232943,-12.313051,8.19971,0.6943,rev
12,-1.878019,4.535932,-10.768282,7.012245,0.6789,rev
