pair_name,horizon_days,metric,value,p_value,n_obs
yoy_zscore_120m__spy_fwd_3m,63,distance,0.1985,,326
yoy_zscore_120m__spy_fwd_6m,126,pearson,0.1006,0.0711,323
yoy_zscore_120m__spy_fwd_6m,126,spearman,0.0079,0.8877,323
yoy_zscore_120m__spy_fwd_6m,126,kendall,-0.0019,0.9585,323
yoy_zscore_120m__spy_fwd_6m,126,distance,0.2463,,323
yoy_zscore_120m__spy_fwd_12m,252,pearson,0.0682,0.2259,317
yoy_zscore_120m__spy_fwd_12m,252,spearman,-0.0371,0.5099,317
yoy_zscore_120m__spy_fwd_12m,252,kendall,-0.0385,0.3066,317
yoy_zscore_120m__spy_fwd_12m,252,distance,0.2977,,317
contraction__spy_fwd_1m,21,pearson,0.0629,0.21,399
contraction__spy_fwd_1m,21,spearman,0.063,0.209,399
contraction__spy_fwd_1m,21,kendall,0.0515,0.2086,399
contraction__spy_fwd_1m,21,distance,0.0667,,399
contraction__spy_fwd_3m,63,pearson,0.09,0.0733,397
contraction__spy_fwd_3m,63,spearman,0.1063,0.0343,397
contraction__spy_fwd_3m,63,kendall,0.0869,0.0344,397
contraction__spy_fwd_3m,63,distance,0.1034,,397
contraction__spy_fwd_6m,126,pearson,0.1299,0.0098,394
contraction__spy_fwd_6m,126,spearman,0.1555,0.002,394
contraction__spy_fwd_6m,126,kendall,0.1271,0.0021,394
contraction__spy_fwd_6m,126,distance,0.1515,,394
contraction__spy_fwd_12m,252,pearson,0.1842,0.0003,388
contraction__spy_fwd_12m,252,spearman,0.2308,0.0,388
contraction__spy_fwd_12m,252,kendall,0.1887,0.0,388
contraction__spy_fwd_12m,252,distance,0.22,,388
hmm_stress__spy_fwd_1m,21,pearson,0.0764,0.1336,387
hmm_stress__spy_fwd_1m,21,spearman,-0.0263,0.6062,387
hmm_stress__spy_fwd_1m,21,kendall,-0.0198,0.5616,387
hmm_stress__spy_fwd_1m,21,distance,0.084,,387
hmm_stress__spy_fwd_3m,63,pearson,0.0937,0.0662,385
hmm_stress__spy_fwd_3m,63,spearman,-0.0628,0.2191,385
hmm_stress__spy_fwd_3m,63,kendall,-0.0463,0.1749,385
hmm_stress__spy_fwd_3m,63,distance,0.1067,,385
hmm_stress__spy_fwd_6m,126,pearson,0.071,0.166,382
hmm_stress__spy_fwd_6m,126,spearman,-0.0669,0.192,382
hmm_stress__spy_fwd_6m,126,kendall,-0.0471,0.169,382
hmm_stress__spy_fwd_6m,126,distance,0.1172,,382
hmm_stress__spy_fwd_12m,252,pearson,0.0157,0.7614,376
hmm_stress__spy_fwd_12m,252,spearman,-0.0977,0.0585,376
hmm_stress__spy_fwd_12m,252,kendall,-0.0729,0.0348,376
hmm_stress__spy_fwd_12m,252,distance,0.1494,,376
