signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S1_ratio,T2_rp50,P1,21,0.6196,6.51,-12.14,29.54,1566,False
S1_ratio,T2_rp50,P2,21,0.6206,7.21,-20.26,14.92,1566,True
S1_ratio,T2_rp50,P3,21,-0.1308,-2.67,-51.9,59.08,1566,False
S1_ratio,T2_rp75,P1,21,0.5047,7.56,-31.96,22.12,1566,True
S1_ratio,T2_rp75,P2,21,0.6206,7.21,-20.26,14.92,1566,True
S1_ratio,T2_rp75,P3,21,-0.0281,-0.57,-52.27,44.24,1566,False
S1_ratio,T4_unity,P1,21,0.6531,11.88,-31.51,14.49,1566,True
S1_ratio,T4_unity,P2,21,0.6206,7.21,-20.26,14.92,1566,True
S1_ratio,T4_unity,P3,21,0.3967,8.08,-38.29,28.98,1566,False
S1_ratio,T1_p25,P1,63,0.1628,2.1,-30.51,23.39,1566,True
S1_ratio,T1_p25,P2,63,0.6299,8.99,-30.18,14.92,1566,True
S1_ratio,T1_p25,P3,63,-0.5642,-11.49,-59.98,46.78,1566,False
S1_ratio,T1_p50,P1,63,0.3396,5.5,-29.93,24.86,1566,False
S1_ratio,T1_p50,P2,63,0.6299,8.99,-30.18,14.92,1566,True
S1_ratio,T1_p50,P3,63,-0.2297,-4.68,-41.13,49.73,1566,False
S1_ratio,T1_p75,P1,63,0.5344,10.24,-33.72,19.47,1566,True
S1_ratio,T1_p75,P2,63,0.6299,8.99,-30.18,14.92,1566,True
S1_ratio,T1_p75,P3,63,0.2354,4.8,-37.51,38.95,1566,False
S1_ratio,T2_rp25,P1,63,0.0812,1.01,-30.51,28.27,1566,False
S1_ratio,T2_rp25,P2,63,0.6299,8.99,-30.18,14.92,1566,True
S1_ratio,T2_rp25,P3,63,-0.6708,-13.66,-66.67,56.54,1566,False
S1_ratio,T2_rp50,P1,63,0.616,9.42,-26.89,29.14,1566,False
S1_ratio,T2_rp50,P2,63,0.6299,8.99,-30.18,14.92,1566,True
