entry_date,exit_date,direction,holding_days,trade_return_pct
2013-06-20,2013-06-25,Cash,5,0.0
2013-06-25,2013-08-21,Long,57,3.78
2013-08-21,2013-08-22,Cash,1,0.0
2013-08-22,2013-08-27,Long,5,-1.64
2013-08-27,2013-09-04,Cash,8,0.0
2013-09-04,2013-09-27,Long,23,2.4
2013-09-27,2013-10-11,Cash,14,0.0
2013-10-11,2013-10-15,Long,4,-0.33
2013-10-15,2013-10-16,Cash,1,0.0
2013-10-16,2013-12-02,Long,47,4.92
2013-12-02,2013-12-06,Cash,4,0.0
2013-12-06,2013-12-11,Long,5,-1.23
2013-12-11,2013-12-18,Cash,7,0.0
2013-12-18,2014-01-02,Long,15,1.22
2014-01-02,2014-01-03,Cash,1,0.0
2014-01-03,2014-01-24,Long,21,-2.19
2014-01-24,2014-02-07,Cash,14,0.0
2014-02-07,2014-02-19,Long,12,1.86
2014-02-19,2014-02-20,Cash,1,0.0
2014-02-20,2014-03-14,Long,22,0.3
2014-03-14,2014-03-17,Cash,3,0.0
2014-03-17,2014-04-07,Long,21,-0.63
2014-04-07,2014-04-09,Cash,2,0.0
2014-04-09,2014-04-10,Long,1,-2.1
2014-04-10,2014-04-16,Cash,6,0.0
2014-04-16,2014-07-17,Long,92,5.65
2014-07-17,2014-07-18,Cash,1,0.0
2014-07-18,2014-07-29,Long,11,-0.38
2014-07-29,2014-08-11,Cash,13,0.0
2014-08-11,2014-09-23,Long,43,2.65
2014-09-23,2014-09-24,Cash,1,0.0
2014-09-24,2014-09-25,Long,1,-1.61
2014-09-25,2014-10-21,Cash,26,0.0
2014-10-21,2014-10-22,Long,1,-0.71
2014-10-22,2014-10-23,Cash,1,0.0
2014-10-23,2014-12-10,Long,48,4.22
2014-12-10,2014-12-18,Cash,8,0.0
2014-12-18,2014-12-31,Long,13,-0.05
2014-12-31,2015-01-02,Cash,2,0.0
2015-01-02,2015-01-05,Long,3,-1.81
2015-01-05,2015-01-08,Cash,3,0.0
2015-01-08,2015-01-12,Long,4,-1.58
2015-01-12,2015-01-22,Cash,10,0.0
2015-01-22,2015-01-28,Long,6,-2.89
2015-01-28,2015-02-02,Cash,5,0.0
2015-02-02,2015-04-30,Long,87,3.7
2015-04-30,2015-05-01,Cash,1,0.0
2015-05-01,2015-05-06,Long,5,-1.27
2015-05-06,2015-05-08,Cash,2,0.0
2015-05-08,2015-05-26,Long,18,-0.43
2015-05-26,2015-05-27,Cash,1,0.0
2015-05-27,2015-05-29,Long,2,-0.73
2015-05-29,2015-06-03,Cash,5,0.0
2015-06-03,2015-06-04,Long,1,-0.84
2015-06-04,2015-06-05,Cash,1,0.0
2015-06-05,2015-06-08,Long,3,-0.61
2015-06-08,2015-06-09,Cash,1,0.0
