lead_days,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
0,66,1.1295,0.8885,0.6894,1.023,S3_z126,T2_rp75,P1,-21.15
1,66,1.103,0.8648,0.6778,1.0201,S8_pctrank,T2_rp75,P1,-19.77
5,66,0.9791,0.8062,0.5988,0.9262,S1_ratio,T1_p25,P2,-18.26
21,66,0.8464,0.6346,0.5946,0.7172,S2_z252,T2_rp75,P1,-24.42
63,68,0.9701,0.6633,0.6113,0.7622,S10_spread,T1_p75,P1,-17.98
126,67,0.9817,0.6079,0.5692,0.6767,S10_spread,T1_p75,P1,-20.54
252,70,0.8389,0.7215,0.6568,0.7695,S2_z252,T1_p25,P1,-8.98
