signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,valid,lead_source
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,0,1.0516,-16.73,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,0,0.8885,-15.9,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,0,0.8885,-15.9,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,0,0.8885,-15.9,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,0,1.0812,-24.82,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,0,0.8885,-15.9,True,pipeline
S2_z252,T1_p25,P2,vix_ratio_zscore_252d,1,0.9017,-17.75,True,pipeline
S2_z252,T1_p50,P2,vix_ratio_zscore_252d,1,0.9017,-17.75,True,pipeline
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,1,1.0723,-16.52,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,1,0.9017,-17.75,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,1,0.9017,-17.75,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,1,0.9017,-17.75,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,1,0.8852,-25.42,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,1,0.9017,-17.75,True,pipeline
S2_z252,T1_p25,P2,vix_ratio_zscore_252d,5,0.9337,-19.19,True,pipeline
S2_z252,T1_p50,P2,vix_ratio_zscore_252d,5,0.9337,-19.19,True,pipeline
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,5,0.594,-28.64,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,5,0.9337,-19.19,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,5,0.9337,-19.19,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,5,0.9337,-19.19,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,5,0.4537,-31.89,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,5,0.9337,-19.19,True,pipeline
S2_z252,T1_p25,P2,vix_ratio_zscore_252d,21,0.6854,-17.46,True,pipeline
S2_z252,T1_p50,P2,vix_ratio_zscore_252d,21,0.6854,-17.46,True,pipeline
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,21,0.4629,-32.35,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,21,0.6854,-17.46,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,21,0.6854,-17.46,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,21,0.6854,-17.46,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,21,0.8464,-24.42,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,21,0.6854,-17.46,True,pipeline
S2_z252,T1_p25,P2,vix_ratio_zscore_252d,63,0.6287,-28.84,True,pipeline
S2_z252,T1_p50,P2,vix_ratio_zscore_252d,63,0.6287,-28.84,True,pipeline
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,63,0.7455,-33.72,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,63,0.6287,-28.84,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,63,0.6287,-28.84,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,63,0.6287,-28.84,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,63,0.6219,-33.72,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,63,0.6287,-28.84,True,pipeline
S2_z252,T1_p25,P2,vix_ratio_zscore_252d,126,0.5692,-29.8,True,pipeline
S2_z252,T1_p50,P2,vix_ratio_zscore_252d,126,0.5692,-29.8,True,pipeline
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,126,0.4883,-33.64,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,126,0.5692,-29.8,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,126,0.5692,-29.8,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,126,0.5692,-29.8,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,126,0.6058,-33.72,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,126,0.5692,-29.8,True,pipeline
S2_z252,T1_p25,P1,vix_ratio_zscore_252d,252,0.8389,-8.98,True,pipeline
S2_z252,T1_p25,P2,vix_ratio_zscore_252d,252,0.7695,-27.49,True,pipeline
S2_z252,T1_p50,P2,vix_ratio_zscore_252d,252,0.7695,-27.49,True,pipeline
S2_z252,T1_p75,P1,vix_ratio_zscore_252d,252,0.6504,-33.72,True,pipeline
S2_z252,T1_p75,P2,vix_ratio_zscore_252d,252,0.7695,-27.49,True,pipeline
S2_z252,T2_rp25,P2,vix_ratio_zscore_252d,252,0.7695,-27.49,True,pipeline
S2_z252,T2_rp50,P2,vix_ratio_zscore_252d,252,0.7695,-27.49,True,pipeline
S2_z252,T2_rp75,P1,vix_ratio_zscore_252d,252,0.6738,-33.72,True,pipeline
S2_z252,T2_rp75,P2,vix_ratio_zscore_252d,252,0.7695,-27.49,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,0,0.8719,-16.39,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,0,0.8719,-16.39,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,0,1.0278,-21.86,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,0,0.8719,-16.39,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,0,0.8719,-16.39,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,0,0.8719,-16.39,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,0,1.1295,-21.15,True,pipeline
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,0,0.8719,-16.39,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,1,0.8648,-17.62,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,1,0.8648,-17.62,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,1,0.9371,-25.54,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,1,0.8648,-17.62,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,1,0.8648,-17.62,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,1,0.8648,-17.62,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,1,1.0942,-20.98,True,pipeline
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,1,0.8648,-17.62,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,5,0.9075,-18.92,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,5,0.9075,-18.92,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,5,0.5554,-28.94,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,5,0.9075,-18.92,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,5,0.9075,-18.92,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,5,0.9075,-18.92,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,5,0.7942,-25.6,True,pipeline
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,5,0.9075,-18.92,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,21,0.6346,-18.68,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,21,0.6346,-18.68,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,21,0.562,-33.94,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,21,0.6346,-18.68,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,21,0.6346,-18.68,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,21,0.6346,-18.68,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,21,0.7649,-25.2,True,pipeline
S3_z126,T2_rp75,P2,vix_ratio_zscore_126d,21,0.6346,-18.68,True,pipeline
S3_z126,T1_p25,P2,vix_ratio_zscore_126d,63,0.6113,-27.94,True,pipeline
S3_z126,T1_p50,P2,vix_ratio_zscore_126d,63,0.6113,-27.94,True,pipeline
S3_z126,T1_p75,P1,vix_ratio_zscore_126d,63,0.5256,-33.72,True,pipeline
S3_z126,T1_p75,P2,vix_ratio_zscore_126d,63,0.6113,-27.94,True,pipeline
S3_z126,T2_rp25,P2,vix_ratio_zscore_126d,63,0.6113,-27.94,True,pipeline
S3_z126,T2_rp50,P2,vix_ratio_zscore_126d,63,0.6113,-27.94,True,pipeline
S3_z126,T2_rp75,P1,vix_ratio_zscore_126d,63,0.5349,-29.93,True,pipeline
