period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,,,,0,
GFC,2007-12-01,2009-06-30,False,-0.0541,0.3757,-0.1441,412,-0.4023
COVID,2020-02-01,2020-12-31,True,0.2345,0.3418,0.6861,239,-0.2413
2022 Rates Shock,2022-01-01,2022-12-31,True,0.0152,0.2384,0.0637,260,-0.1629
Full OOS,2015-01-01,2025-12-31,True,0.0248,0.1748,0.142,2870,-0.2948
