regime,n_days,ann_return_pct,ann_vol_pct,sharpe
Q1_low,1716,17.13,11.7,1.465
Q2,1722,15.0,14.0,1.071
Q3,1709,6.53,17.04,0.383
Q4_high,1715,-1.49,28.63,-0.052
