signal,horizon,method,correlation,p_value,n
permit_yoy,spy_fwd_1m,Pearson,0.0381,0.4497,395
permit_yoy,spy_fwd_3m,Pearson,0.0477,0.3456,393
permit_yoy,spy_fwd_6m,Pearson,0.0952,0.0605,390
permit_yoy,spy_fwd_12m,Pearson,0.1782,0.0004,384
permit_mom,spy_fwd_1m,Pearson,0.0675,0.1803,395
permit_mom,spy_fwd_3m,Pearson,0.0751,0.1373,393
permit_mom,spy_fwd_6m,Pearson,0.0472,0.3529,390
permit_mom,spy_fwd_12m,Pearson,0.0399,0.4352,384
permit_dev_trend,spy_fwd_1m,Pearson,0.0483,0.3383,395
permit_dev_trend,spy_fwd_3m,Pearson,0.0449,0.3748,393
permit_dev_trend,spy_fwd_6m,Pearson,0.0469,0.3558,390
permit_dev_trend,spy_fwd_12m,Pearson,0.1441,0.0047,384
permit_zscore_60m,spy_fwd_1m,Pearson,0.0513,0.3158,384
permit_zscore_60m,spy_fwd_3m,Pearson,0.0878,0.0867,382
permit_zscore_60m,spy_fwd_6m,Pearson,0.1322,0.01,379
permit_zscore_60m,spy_fwd_12m,Pearson,0.2173,0.0,373
permit_mom_3m,spy_fwd_1m,Pearson,0.0495,0.3263,395
permit_mom_3m,spy_fwd_3m,Pearson,0.0584,0.2478,393
permit_mom_3m,spy_fwd_6m,Pearson,0.0162,0.7503,390
permit_mom_3m,spy_fwd_12m,Pearson,0.0602,0.2392,384
permit_mom_6m,spy_fwd_1m,Pearson,0.0435,0.3885,395
permit_mom_6m,spy_fwd_3m,Pearson,0.0161,0.7505,393
permit_mom_6m,spy_fwd_6m,Pearson,0.0159,0.755,390
permit_mom_6m,spy_fwd_12m,Pearson,0.1099,0.0314,384
permit_accel,spy_fwd_1m,Pearson,0.0019,0.9692,395
permit_accel,spy_fwd_3m,Pearson,0.0241,0.634,393
permit_accel,spy_fwd_6m,Pearson,0.0114,0.823,390
permit_accel,spy_fwd_12m,Pearson,0.0073,0.8861,384
permit_contraction,spy_fwd_1m,Pearson,0.0355,0.4812,395
permit_contraction,spy_fwd_3m,Pearson,0.0508,0.3148,393
permit_contraction,spy_fwd_6m,Pearson,-0.0104,0.8379,390
permit_contraction,spy_fwd_12m,Pearson,-0.119,0.0197,384
