lag,ccf,upper_ci,lower_ci,significant
-6,0.059511138113372906,0.10054587850434511,-0.10054587850434511,False
-5,0.05036681351541564,0.10054587850434511,-0.10054587850434511,False
-4,0.07173667682533816,0.10054587850434511,-0.10054587850434511,False
-3,-0.00561844711258284,0.10054587850434511,-0.10054587850434511,False
-2,0.015009574860204275,0.10054587850434511,-0.10054587850434511,False
-1,0.0705604603326371,0.10054587850434511,-0.10054587850434511,False
0,0.007924853536019254,0.10054587850434511,-0.10054587850434511,False
1,-0.02287452948574725,0.10067843739975277,-0.10067843739975277,False
2,-0.02530897892180104,0.10081152197523338,-0.10081152197523338,False
3,-0.00943840107784904,0.10094513571442253,-0.10094513571442253,False
4,0.05108967380897938,0.10107928213336174,-0.10107928213336174,False
5,0.04301698807975705,0.10121396478088716,-0.10121396478088716,False
6,0.0436061219455372,0.10134918723902375,-0.10134918723902375,False
