parameter,value,se
p[0->0],0.9978019890251036,
p[1->0],0.02416202674304849,
const[0],711.3244366700582,
const[1],-130.33115981221482,
x1[0],711.3244366700582,
x1[1],-130.33115981221482,
x2[0],-114.6500381891263,
x2[1],66.64150745407697,
sigma2[0],5130.121820318984,
sigma2[1],974.4572915217586,
