test,statistic,p_value,interpretation
Jarque-Bera,68.066,0.0,Non-normal — robust/HAC inference used
Breusch-Pagan,17.12,0.0,Heteroskedastic — HC3/HAC SEs used
Breusch-Godfrey (12),246.35,0.0,Serial correlation (overlapping fwd returns) — HAC SEs used
RESET,0.808,0.4465,Linear form adequate
