parameter,value,se
p[0->0],0.856291481534435,
p[1->0],0.13099488855687108,
const[0],275.74155877601885,
const[1],-49.40338700400199,
x1[0],275.74155877601885,
x1[1],-49.40338700400199,
x2[0],938.3672753197322,
x2[1],-171.76623256864417,
sigma2[0],2545.7790626554743,
sigma2[1],123.44993642235649,
