horizon_months,coef_indpro_yoy,se,t_stat,p_value,ci_lower,ci_upper,r_squared,n,nw_lags
1,0.000533,0.000731,0.73,0.4655,-0.000899,0.001965,0.0118,394,5
3,0.000979,0.001865,0.525,0.5996,-0.002676,0.004633,0.0321,392,5
6,0.001588,0.003088,0.514,0.607,-0.004464,0.00764,0.0429,389,5
12,-0.000723,0.004374,-0.165,0.8687,-0.009295,0.00785,0.0194,383,5
