horizon_months,coef_indpro_yoy,coef_contraction,coef_interaction,p_indpro,p_contraction,p_interaction,r_squared,n
1,0.00169,-0.001696,-0.002785,0.0691,0.804,0.113,0.0099,394
3,0.004399,-0.016042,-0.009713,0.0434,0.3678,0.0067,0.043,392
6,0.009638,-0.024971,-0.020567,0.0145,0.4535,0.0003,0.0829,389
12,0.015305,0.020219,-0.028572,0.1143,0.707,0.0147,0.0607,383
