direction,lag,f_statistic,p_value,significant
INDPRO->SPY,1,0.3525,0.5531,False
INDPRO->SPY,2,0.8031,0.4487,False
INDPRO->SPY,3,0.3171,0.813,False
INDPRO->SPY,4,0.2343,0.919,False
INDPRO->SPY,5,0.3227,0.8993,False
INDPRO->SPY,6,0.6009,0.7296,False
SPY->INDPRO,1,14.6597,0.0001,True
SPY->INDPRO,2,11.6066,0.0,True
SPY->INDPRO,3,9.5365,0.0,True
SPY->INDPRO,4,7.6069,0.0,True
SPY->INDPRO,5,6.2927,0.0,True
SPY->INDPRO,6,5.6494,0.0,True
