period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,-0.0711,0.1875,-0.3792,32,-0.3569
GFC,2007-12-01,2009-06-30,False,-0.0933,0.2559,-0.3646,19,-0.3125
COVID Shock,2020-02-01,2020-12-31,True,-0.0175,0.2637,-0.0663,11,-0.1208
China/EM Shock,2015-06-01,2016-02-29,False,-0.1923,0.1602,-1.2004,9,-0.2153
Full OOS,2018-01-01,2025-11-30,True,0.2219,0.157,1.4129,95,-0.1942
