signal,threshold,strategy,lead_months,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S1_level,T1_p25,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T1_p25,P3,2,0.8998,14.8,-23.93,0.61,96,True
S1_level,T1_p50,P1,2,0.7432,11.59,-23.93,0.75,96,True
S1_level,T1_p50,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T1_p50,P3,2,0.4977,8.38,-35.12,1.5,96,True
S1_level,T1_p75,P1,2,0.19,1.69,-23.93,0.61,96,True
S1_level,T1_p75,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T1_p75,P3,2,-0.6844,-11.41,-65.17,1.22,96,False
S1_level,T2_rp25,P1,2,0.7009,11.34,-23.93,0.44,96,True
S1_level,T2_rp25,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T2_rp25,P3,2,0.4681,7.89,-23.93,0.89,96,True
S1_level,T2_rp50,P1,2,0.4971,7.47,-23.93,0.67,96,True
S1_level,T2_rp50,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T2_rp50,P3,2,0.0078,0.13,-38.87,1.33,96,True
S1_level,T2_rp75,P1,2,0.1895,2.47,-23.93,0.94,96,True
S1_level,T2_rp75,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T2_rp75,P3,2,-0.5883,-9.86,-64.59,1.89,96,False
S1_level,T1_p25,P1,3,0.8998,14.8,-23.93,0.31,96,True
S1_level,T1_p25,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T1_p25,P3,3,0.8998,14.8,-23.93,0.61,96,True
S1_level,T1_p50,P1,3,0.9241,14.19,-23.93,0.75,96,True
S1_level,T1_p50,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T1_p50,P3,3,0.8214,13.58,-23.93,1.5,96,True
S1_level,T1_p75,P1,3,0.1756,1.58,-23.93,0.5,96,True
S1_level,T1_p75,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T1_p75,P3,3,-0.6988,-11.64,-65.8,1.0,96,False
S1_level,T2_rp25,P1,3,0.6253,10.01,-23.93,0.44,96,True
S1_level,T2_rp25,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T2_rp25,P3,3,0.308,5.22,-32.21,0.89,96,True
S1_level,T2_rp50,P1,3,0.5286,7.96,-23.93,0.67,96,True
S1_level,T2_rp50,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T2_rp50,P3,3,0.0655,1.11,-45.49,1.33,96,True
S1_level,T2_rp75,P1,3,0.5063,6.75,-23.93,0.94,96,True
S1_level,T2_rp75,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T2_rp75,P3,3,-0.0764,-1.3,-58.32,1.89,96,False
S1_level,T1_p25,P1,6,0.8998,14.8,-23.93,0.36,96,True
S1_level,T1_p25,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T1_p25,P3,6,0.8998,14.8,-23.93,0.72,96,True
S1_level,T1_p50,P1,6,0.861,13.56,-23.93,0.75,96,True
S1_level,T1_p50,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T1_p50,P3,6,0.7415,12.32,-23.93,1.5,96,True
S1_level,T1_p75,P1,6,0.0021,0.02,-23.93,0.5,96,True
S1_level,T1_p75,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T1_p75,P3,6,-0.8973,-14.76,-73.36,1.0,96,False
S1_level,T2_rp25,P1,6,0.716,11.31,-23.93,0.44,96,True
S1_level,T2_rp25,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T2_rp25,P3,6,0.4645,7.83,-23.93,0.89,96,True
S1_level,T2_rp50,P1,6,0.4539,6.68,-23.93,0.67,96,True
S1_level,T2_rp50,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T2_rp50,P3,6,-0.0848,-1.44,-44.25,1.33,96,False
S1_level,T2_rp75,P1,6,0.4256,6.02,-23.93,0.94,96,True
S1_level,T2_rp75,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T2_rp75,P3,6,-0.1629,-2.77,-52.92,1.89,96,False
S2_yoy,T1_p25,P1,0,0.6639,9.61,-19.98,1.47,96,True
S2_yoy,T1_p25,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T1_p25,P3,0,0.2601,4.41,-27.15,2.94,96,True
S2_yoy,T1_p50,P1,0,0.5369,5.49,-19.45,2.17,96,True
S2_yoy,T1_p50,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T1_p50,P3,0,-0.2259,-3.83,-47.29,4.33,96,False
S2_yoy,T1_p75,P1,0,0.1704,1.19,-19.42,1.61,96,True
S2_yoy,T1_p75,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T1_p75,P3,0,-0.7475,-12.42,-67.9,3.22,96,False
S2_yoy,T2_rp25,P1,0,0.7839,10.64,-19.45,2.25,96,True
S2_yoy,T2_rp25,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T2_rp25,P3,0,0.3829,6.47,-29.2,4.5,96,True
S2_yoy,T2_rp50,P1,0,0.3782,3.57,-19.45,1.83,96,True
S2_yoy,T2_rp50,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T2_rp50,P3,0,-0.4552,-7.67,-56.24,3.67,96,False
S2_yoy,T2_rp75,P1,0,0.1873,1.34,-19.42,1.56,96,True
S2_yoy,T2_rp75,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T2_rp75,P3,0,-0.7284,-12.12,-67.11,3.11,96,False
S2_yoy,T4_zero,P1,0,0.3742,5.13,-20.15,1.44,96,True
S2_yoy,T4_zero,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T4_zero,P3,0,-0.2684,-4.55,-54.4,2.89,96,False
S2_yoy,T1_p25,P1,1,0.81,11.15,-23.93,1.44,96,True
S2_yoy,T1_p25,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T1_p25,P3,1,0.4451,7.5,-42.25,2.89,96,True
S2_yoy,T1_p50,P1,1,0.3897,4.35,-21.91,2.17,96,True
S2_yoy,T1_p50,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T1_p50,P3,1,-0.361,-6.1,-57.54,4.33,96,False
S2_yoy,T1_p75,P1,1,0.5359,4.14,-12.52,1.61,96,True
S2_yoy,T1_p75,P2,1,0.8887,6.16,-11.36,1.17,96,True
