entry_date,exit_date,direction,holding_days,trade_return_pct,signal_value,threshold_value,threshold_comparison,regime_tag
2008-06-30,2008-10-31,Short,123,26.65,-6.1275,-2.7293,-6.1275 <= -2.7293,strong-bearish
2008-10-31,2009-01-31,Long,92,-13.76,4.2399,-2.7293,+4.2399 > -2.7293,strong-bullish
2009-01-31,2009-07-31,Short,181,-20.28,-21.9492,-2.7293,-21.9492 <= -2.7293,strong-bearish
2009-07-31,2009-09-30,Long,61,7.37,-1.6245,-2.7293,-1.6245 > -2.7293,bullish
2009-09-30,2009-10-31,Short,31,1.92,-8.0645,-2.7293,-8.0645 <= -2.7293,strong-bearish
2009-10-31,2010-04-30,Long,181,15.82,1.5595,-2.7293,+1.5595 > -2.7293,strong-bullish
2010-04-30,2010-05-31,Short,31,7.95,-4.2693,-2.7293,-4.2693 <= -2.7293,strong-bearish
2010-05-31,2010-07-31,Long,61,1.3,6.8611,-2.7293,+6.8611 > -2.7293,strong-bullish
2010-07-31,2010-08-31,Short,31,4.5,-4.2169,-2.7293,-4.2169 <= -2.7293,bearish
2010-08-31,2010-10-31,Long,61,13.12,2.2013,-2.7293,+2.2013 > -2.7293,strong-bullish
2010-10-31,2010-12-31,Short,61,-6.68,-7.278,-2.7293,-7.2780 <= -2.7293,strong-bearish
2010-12-31,2011-03-31,Long,90,5.9,2.087,-2.7293,+2.0870 > -2.7293,strong-bullish
2011-03-31,2011-04-30,Short,30,-2.9,-2.931,-2.7293,-2.9310 <= -2.7293,bearish
2011-04-30,2011-07-31,Long,92,-4.73,-0.8881,-2.7293,-0.8881 > -2.7293,strong-bullish
2011-07-31,2011-09-30,Short,61,12.82,-8.8608,-2.7293,-8.8608 <= -2.7293,strong-bearish
2011-09-30,2012-03-31,Long,183,25.78,7.5646,-2.7293,+7.5646 > -2.7293,strong-bullish
2012-03-31,2012-04-30,Short,30,0.67,-5.7187,-2.7293,-5.7187 <= -2.7293,strong-bearish
2012-04-30,2012-10-31,Long,184,2.12,10.0,-2.7293,+10.0000 > -2.7293,strong-bullish
2012-10-31,2012-11-30,Short,30,-0.57,-9.1811,-2.7293,-9.1811 <= -2.7293,strong-bearish
2012-11-30,2013-04-30,Long,151,13.63,8.7432,-2.7293,+8.7432 > -2.7293,strong-bullish
2013-04-30,2013-05-31,Short,31,-2.36,-4.6237,-2.7293,-4.6237 <= -2.7293,strong-bearish
2013-05-31,2013-09-30,Long,122,3.84,3.3822,-2.7293,+3.3822 > -2.7293,strong-bullish
2013-09-30,2013-10-31,Short,31,-4.63,-4.4898,-2.7293,-4.4898 <= -2.7293,strong-bearish
2013-10-31,2013-12-31,Long,61,5.63,8.1197,-2.7293,+8.1197 > -2.7293,strong-bullish
2013-12-31,2014-01-31,Short,31,3.52,-6.0818,-2.7293,-6.0818 <= -2.7293,strong-bearish
2014-01-31,2014-02-28,Long,28,4.55,5.8386,-2.7293,+5.8386 > -2.7293,strong-bullish
2014-02-28,2014-03-31,Short,31,-0.83,-3.3099,-2.7293,-3.3099 <= -2.7293,bearish
2014-03-31,2014-07-31,Long,122,3.75,4.1494,-2.7293,+4.1494 > -2.7293,strong-bullish
2014-07-31,2014-08-31,Short,31,-3.95,-2.8856,-2.7293,-2.8856 <= -2.7293,bearish
2014-08-31,2014-11-30,Long,91,3.72,6.4549,-2.7293,+6.4549 > -2.7293,strong-bullish
2014-11-30,2014-12-31,Short,31,0.25,-6.6055,-2.7293,-6.6055 <= -2.7293,strong-bearish
2014-12-31,2015-05-31,Long,151,3.18,-0.7859,-2.7293,-0.7859 > -2.7293,strong-bullish
2015-05-31,2015-06-30,Short,30,2.03,-3.1993,-2.7293,-3.1993 <= -2.7293,bearish
2015-06-30,2015-09-30,Long,92,-6.42,1.2276,-2.7293,+1.2276 > -2.7293,strong-bullish
2015-09-30,2015-10-31,Short,31,-8.51,-4.8802,-2.7293,-4.8802 <= -2.7293,strong-bearish
2015-10-31,2016-01-31,Long,92,-6.28,8.7687,-2.7293,+8.7687 > -2.7293,strong-bullish
2016-01-31,2016-02-29,Short,29,0.08,-17.3314,-2.7293,-17.3314 <= -2.7293,strong-bearish
2016-02-29,2016-07-31,Long,153,13.34,2.193,-2.7293,+2.1930 > -2.7293,strong-bullish
2016-07-31,2016-08-31,Short,31,-0.12,-3.3031,-2.7293,-3.3031 <= -2.7293,bearish
2016-08-31,2016-09-30,Long,30,0.01,0.0854,-2.7293,+0.0854 > -2.7293,strong-bullish
2016-09-30,2016-10-31,Short,31,1.73,-4.6075,-2.7293,-4.6075 <= -2.7293,strong-bearish
2016-10-31,2017-04-30,Long,181,13.16,3.7567,-2.7293,+3.7567 > -2.7293,strong-bullish
2017-04-30,2017-05-31,Short,31,-1.41,-3.7606,-2.7293,-3.7606 <= -2.7293,bearish
2017-05-31,2017-08-31,Long,92,3.01,-1.9139,-2.7293,-1.9139 > -2.7293,bullish
2017-08-31,2017-09-30,Short,30,-2.01,-5.2955,-2.7293,-5.2955 <= -2.7293,strong-bearish
2017-09-30,2017-11-30,Long,61,5.49,3.0794,-2.7293,+3.0794 > -2.7293,strong-bullish
2017-11-30,2017-12-31,Short,31,-1.21,-3.4373,-2.7293,-3.4373 <= -2.7293,bearish
2017-12-31,2018-01-31,Long,31,5.64,12.0033,-2.7293,+12.0033 > -2.7293,strong-bullish
2018-01-31,2018-02-28,Short,28,3.64,-7.1693,-2.7293,-7.1693 <= -2.7293,strong-bearish
2018-02-28,2018-03-31,Long,31,-2.74,5.0159,-2.7293,+5.0159 > -2.7293,strong-bullish
2018-03-31,2018-04-30,Short,30,-0.52,-3.4875,-2.7293,-3.4875 <= -2.7293,bearish
2018-04-30,2018-05-31,Long,31,2.43,6.52,-2.7293,+6.5200 > -2.7293,strong-bullish
2018-05-31,2018-06-30,Short,30,-0.57,-4.2035,-2.7293,-4.2035 <= -2.7293,bearish
2018-06-30,2018-11-30,Long,153,2.07,0.9238,-2.7293,+0.9238 > -2.7293,strong-bullish
2018-11-30,2018-12-31,Short,31,8.8,-2.9028,-2.7293,-2.9028 <= -2.7293,bearish
2018-12-31,2019-02-28,Long,59,11.51,0.5232,-2.7293,+0.5232 > -2.7293,strong-bullish
2019-02-28,2019-03-31,Short,31,-1.81,-4.5727,-2.7293,-4.5727 <= -2.7293,strong-bearish
2019-03-31,2019-04-30,Long,30,4.09,3.2207,-2.7293,+3.2207 > -2.7293,strong-bullish
2019-04-30,2019-05-31,Short,31,6.38,-3.1963,-2.7293,-3.1963 <= -2.7293,bearish
2019-05-31,2019-07-31,Long,61,8.58,5.3459,-2.7293,+5.3459 > -2.7293,strong-bullish
2019-07-31,2019-08-31,Short,31,1.67,-4.7836,-2.7293,-4.7836 <= -2.7293,strong-bearish
2019-08-31,2019-12-31,Long,122,11.11,2.5518,-2.7293,+2.5518 > -2.7293,strong-bullish
